,NAME,state,county,median_household_income_2000,median_rent_2000,median_house_price_2000,year,unemployment_rate_2000
0,"Abbeville County, South Carolina",45,001,10133,367,64200,2000,0.0513409333223981
1,"Acadia Parish, Louisiana",22,001,21171,332,54800,2000,0.07081822889694459
2,"Accomack County, Virginia",51,001,15270,446,69200,2000,0.07534775888717156
3,"Ada County, Idaho",16,001,113577,617,122400,2000,0.03910219267481931
4,"Adair County, Iowa",19,001,3398,373,63000,2000,0.0338511476930211
5,"Adair County, Kentucky",21,001,6733,315,56200,2000,0.1075464819540649
6,"Adair County, Missouri",29,001,9645,418,73400,2000,0.04797047970479705
7,"Adair County, Oklahoma",40,001,7469,342,46900,2000,0.07148364357308074
8,"Adams County, Colorado",08,001,128290,705,141700,2000,0.04644778684101613
9,"Adams County, Idaho",16,003,1430,395,99500,2000,0.07697368421052632
10,"Adams County, Illinois",17,001,26862,402,73100,2000,0.049683958772279484
11,"Adams County, Indiana",18,001,11803,393,86800,2000,0.029356348386312528
12,"Adams County, Iowa",19,003,1863,333,56500,2000,0.04857264593097571
13,"Adams County, Mississippi",28,001,13693,375,57900,2000,0.09083209824264239
14,"Adams County, Nebraska",31,001,12186,445,75600,2000,0.03507296859047505
15,"Adams County, North Dakota",38,001,1122,295,38800,2000,0.01838529176658673
16,"Adams County, Ohio",39,001,10513,381,65100,2000,0.07640761624581188
17,"Adams County, Pennsylvania",42,001,33647,509,109500,2000,0.04227830803950392
18,"Adams County, Washington",53,001,5217,430,79500,2000,0.08668730650154799
19,"Adams County, Wisconsin",55,001,7924,443,77800,2000,0.07779863881717906
20,"Addison County, Vermont",50,001,13077,565,116200,2000,0.045213437736802226
21,"Adjuntas Municipio, Puerto Rico",72,001,5915,249,59500,2000,0.3088387497412544
22,"Aguada Municipio, Puerto Rico",72,003,13529,278,55600,2000,0.22090887309320342
23,"Aguadilla Municipio, Puerto Rico",72,005,22083,211,67700,2000,0.24620295525922875
24,"Aguas Buenas Municipio, Puerto Rico",72,007,9241,274,68700,2000,0.15470792211256335
25,"Aibonito Municipio, Puerto Rico",72,009,8415,281,74200,2000,0.23127815315315314
26,"Aiken County, South Carolina",45,003,55590,475,76800,2000,0.0585266812811723
27,"Aitkin County, Minnesota",27,001,6664,409,86200,2000,0.07724117560183134
28,"Alachua County, Florida",12,001,87536,553,88400,2000,0.06971573765285057
29,"Alamance County, North Carolina",37,001,51722,557,96200,2000,0.050925519782437055
30,"Alameda County, California",06,001,523787,852,291900,2000,0.05494619191211005
31,"Alamosa County, Colorado",08,003,5475,408,84600,2000,0.08765152524310643
32,"Albany County, New York",36,001,120645,611,113100,2000,0.06738178069836362
33,"Albany County, Wyoming",56,001,13289,464,111500,2000,0.054394456055439445
34,"Albemarle County, Virginia",51,003,31916,712,160500,2000,0.0310649806300709
35,"Alcona County, Michigan",26,001,5114,411,84700,2000,0.0994921514312096
36,"Alcorn County, Mississippi",28,003,14178,355,58700,2000,0.04672777386064996
37,"Aleutians East Borough, Alaska",02,013,524,710,98800,2000,0.41423948220064727
38,"Aleutians West Census Area, Alaska",02,016,1274,892,95700,2000,0.12486800422386483
39,"Alexander County, Illinois",17,003,3827,265,32600,2000,0.10574018126888217
40,"Alexander County, North Carolina",37,003,13177,439,84100,2000,0.02501737317581654
41,"Alexandria city, Virginia",51,510,61968,861,202400,2000,0.030933056615893958
42,"Alfalfa County, Oklahoma",40,003,2193,282,31300,2000,0.027504105090311988
43,"Alger County, Michigan",26,003,3797,376,76500,2000,0.08631528046421663
44,"Allamakee County, Iowa",19,005,5730,348,69900,2000,0.03848697262266896
45,"Allegan County, Michigan",26,005,38245,515,111300,2000,0.04181684442809856
46,"Allegany County, Maryland",24,001,29350,381,70100,2000,0.08882894896351073
47,"Allegany County, New York",36,003,18056,423,51300,2000,0.08995559314865723
48,"Alleghany County, North Carolina",37,005,4601,363,86400,2000,0.045985536806972004
49,"Alleghany County, Virginia",51,005,5145,360,73900,2000,0.05293518832711232
50,"Allegheny County, Pennsylvania",42,003,537405,516,83500,2000,0.06084023811184156
51,"Allen County, Indiana",18,003,128891,506,87100,2000,0.04690614215915174
52,"Allen County, Kansas",20,001,5764,365,43400,2000,0.043399385989394364
53,"Allen County, Kentucky",21,003,6889,357,65100,2000,0.049204406364749084
54,"Allen County, Ohio",39,003,40625,446,80600,2000,0.05730743522195573
55,"Allen Parish, Louisiana",22,003,8127,350,51800,2000,0.07308315960157517
56,"Allendale County, South Carolina",45,005,3930,305,44300,2000,0.1014909756735548
57,"Alpena County, Michigan",26,007,12877,370,78900,2000,0.07212983370066119
58,"Alpine County, California",06,003,492,659,181000,2000,0.08052708638360176
59,"Amador County, California",06,005,12741,685,153700,2000,0.04356992269852424
60,"Amelia County, Virginia",51,007,4240,480,92200,2000,0.028790786948176585
61,"Amherst County, Virginia",51,009,11928,427,87600,2000,0.05009396669042836
62,"Amite County, Mississippi",28,005,5290,291,51200,2000,0.08878760255241568
63,"Anchorage Municipality, Alaska",02,020,95080,736,152300,2000,0.06355074991280084
64,"Anderson County, Kansas",20,003,3218,365,61300,2000,0.03657289002557545
65,"Anderson County, Kentucky",21,005,7314,523,91200,2000,0.03975782038345106
66,"Anderson County, South Carolina",45,007,65690,454,81400,2000,0.04304778303917348
67,"Anderson County, Tennessee",47,001,29773,450,83400,2000,0.05248518563308743
68,"Anderson County, Texas",48,001,15673,456,56500,2000,0.07514513591232164
69,"Andrew County, Missouri",29,003,6249,435,86400,2000,0.030417800923186175
70,"Andrews County, Texas",48,003,4594,397,38900,2000,0.08111050626020685
71,"Androscoggin County, Maine",23,001,42095,433,86800,2000,0.05032184709053898
72,"Angelina County, Texas",48,005,28743,461,57000,2000,0.06014203284509543
73,"Anne Arundel County, Maryland",24,003,178754,798,156500,2000,0.02994009756386875
74,"Anoka County, Minnesota",27,003,106468,649,129000,2000,0.03312757803586578
75,"Anson County, North Carolina",37,007,9213,404,60400,2000,0.060152473038304205
76,"Antelope County, Nebraska",31,003,2966,327,49800,2000,0.021739130434782608
77,"Antrim County, Michigan",26,009,9254,460,103300,2000,0.0641636312692631
78,"Apache County, Arizona",04,001,19932,342,39200,2000,0.2183008396186139
79,"Appanoose County, Iowa",19,007,5792,346,49300,2000,0.05927342256214149
80,"Appling County, Georgia",13,001,6594,351,51300,2000,0.04763076923076923
81,"Appomattox County, Virginia",51,011,5331,437,80400,2000,0.028666767784013347
82,"Aransas County, Texas",48,007,9177,475,65400,2000,0.07320205479452055
83,"Arapahoe County, Colorado",08,005,190961,735,166000,2000,0.0321111830956015
84,"Archer County, Texas",48,009,3350,424,62100,2000,0.03243003109729009
85,"Archuleta County, Colorado",08,007,3989,627,156200,2000,0.0488652627274586
86,"Arecibo Municipio, Puerto Rico",72,013,34225,306,65000,2000,0.20737170784686396
87,"Arenac County, Michigan",26,011,6732,399,75400,2000,0.08415497847521178
88,"Arkansas County, Arkansas",05,001,8473,392,52600,2000,0.061946011281224816
89,"Arlington County, Virginia",51,013,86474,897,233700,2000,0.027217867105949357
90,"Armstrong County, Pennsylvania",42,005,28932,395,63800,2000,0.06172305028140269
91,"Armstrong County, Texas",48,011,809,436,65700,2000,0.03369672943508424
92,"Aroostook County, Maine",23,003,30317,364,58400,2000,0.06473169472567183
93,"Arroyo Municipio, Puerto Rico",72,015,6160,252,55700,2000,0.33352578906851427
94,"Arthur County, Nebraska",31,005,185,286,48800,2000,0.011811023622047244
95,"Ascension Parish, Louisiana",22,005,26773,450,89900,2000,0.05367846679031261
96,"Ashe County, North Carolina",37,009,10394,375,86800,2000,0.046215673141326186
97,"Ashland County, Ohio",39,005,19489,471,97800,2000,0.04281101614434948
98,"Ashland County, Wisconsin",55,003,6697,372,61900,2000,0.08137347130761995
99,"Ashley County, Arkansas",05,003,9365,414,49200,2000,0.0686823802163833
100,"Ashtabula County, Ohio",39,007,39437,473,85100,2000,0.05106287941851258
101,"Asotin County, Washington",53,003,8352,494,96600,2000,0.06425458599371643
102,"Assumption Parish, Louisiana",22,007,8217,368,58400,2000,0.09260206691906273
103,"Atascosa County, Texas",48,013,12828,398,48800,2000,0.059789550513959004
104,"Atchison County, Kansas",20,005,6270,378,57300,2000,0.06213872832369942
105,"Atchison County, Missouri",29,005,2736,317,51600,2000,0.03689567430025445
106,"Athens County, Ohio",39,009,22500,469,75800,2000,0.11061381074168798
107,"Atkinson County, Georgia",13,003,2729,288,32500,2000,0.05224102107450282
108,"Atlantic County, New Jersey",34,001,95025,677,118300,2000,0.074823383401222
109,"Atoka County, Oklahoma",40,005,4969,327,50100,2000,0.06587057010785824
110,"Attala County, Mississippi",28,007,7565,349,47400,2000,0.0697261663286004
111,"Audrain County, Missouri",29,007,9872,384,66500,2000,0.03978890936505277
112,"Audubon County, Iowa",19,009,2767,351,58400,2000,0.04116945107398568
113,"Auglaize County, Ohio",39,011,17441,457,91700,2000,0.03167253953945751
