STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,Total_1_death,Total_2_death,Total_3_death,Total_4_death,Total_5_death,Total_6_death,Total_1_property,Total_2_property,Total_3_property,Total_4_property,Total_5_property,Total_6_property,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,001,3515456.0,0.103116068015074,3625.0,0.1263124387611473,6349.0,139,1,1,0,0,0,107,21,9,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,003,39622794.0,0.028826841438794003,11422.0,0.021016226117240095,8720.0,132,3,0,0,0,0,92,32,8,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,005,1462728.0,0.1087010025103778,1590.0,0.130436544074517,1481.0,78,0,0,0,0,0,73,5,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,007,904993.0,0.1703880582501743,1542.0,0.189817639482069,1372.0,91,2,0,0,0,0,79,9,3,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,009,2743872.0,0.0743839362769108,2041.0,0.08483014683624408,2595.0,146,0,0,0,0,0,116,22,3,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,011,172431.0,0.1734026944110978,299.0,0.331858407079646,552.0,35,0,0,0,0,0,34,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,013,702648.0,0.0950689392128064,668.0,0.1101673833469562,403.0,54,2,0,0,0,0,27,18,9,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,015,14795795.0,0.0412211712854902,6099.0,0.0471641449301769,5850.0,103,1,1,0,0,0,87,15,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,017,1290822.0,0.10590151082023698,1367.0,0.1506534669354757,1502.0,60,0,0,0,0,0,47,11,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,019,902230.0,0.160712900258249,1450.0,0.1194763004422873,1221.0,84,0,0,0,0,0,60,20,3,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,021,1403232.0,0.0858731841919226,1205.0,0.0900509109464333,1553.0,86,0,1,0,0,0,75,9,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,023,302952.0,0.1960706646597481,594.0,0.2306884029448709,674.0,69,1,0,0,0,0,33,27,4,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,025,755776.0,0.0603353374544838,456.0,0.1252979800092007,749.0,127,0,0,0,0,0,59,53,12,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,027,223958.0,0.1674421096812795,375.0,0.2144217623482396,367.0,65,1,0,0,0,0,56,9,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,029,341090.0,0.325427306575977,1110.0,0.3024399294925318,652.0,65,0,0,0,0,0,59,6,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
