STATE_FIPS,COUNTY_FIPS,Population,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,Total_1_death,Total_2_death,Total_3_death,Total_4_death,Total_5_death,Total_6_death,Total_1_property,Total_2_property,Total_3_property,Total_4_property,Total_5_property,Total_6_property,NAME,median_household_income,start_year,end_year,median_age,median_house_value_USD,median_rent,per_pop_edu_less_than_high_school,per_pop_edu_high_school_grad,per_pop_edu_some_college,per_pop_edu_associates,per_pop_edu_bachelors,per_pop_edu_graduate,per_households_below_poverty_line,per_pop_white_alone,per_pop_female,per_pop_US_born_same_state,per_pop_US_born_other_state,per_pop_foreign_born,per_pop_veterans,rental_units_sub_10_per_income_per_pop,rental_units_10_15_per_income_per_pop,rental_units_15_20_per_income_per_pop,rental_units_20_25_per_income_per_pop,rental_units_25_30_per_income_per_pop,rental_units_30_35_per_income_per_pop,rental_units_35_40_per_income_per_pop,rental_units_40_50_per_income_per_pop,rental_units_above_50_per_income_per_pop,per_homes_renter_occupied,per_homes_vaccant_by_homes,per_homes_family,per_homes_without_plumbing,per_homes_without_kitchen
01,001,4056791.0,0.0902437419132511,3661.0,0.1078841323728299,3127.0,188,0,0,0,0,0,79,79,22,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,003,32115069.0,0.0431043757059964,13843.0,0.029709863356302203,8773.0,257,7,1,0,0,0,151,66,38,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,005,2136783.0,0.129353331620478,2764.0,0.1637885040265803,2416.0,116,1,0,0,0,0,65,38,12,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,007,637050.0,0.2431520288831332,1549.0,0.2291831414931318,1878.0,115,2,0,0,0,0,62,40,13,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,009,2525085.0,0.1326688012482748,3350.0,0.1000685759332661,2488.0,207,1,0,0,0,0,83,91,26,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,011,118272.0,0.5309794372294372,628.0,0.3102741419603902,778.0,88,0,0,0,0,0,42,32,11,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,013,478104.0,0.10813546843364621,517.0,0.1839932591866287,1094.0,89,0,0,0,0,0,44,24,19,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,015,14253056.0,0.0484527669013578,6906.0,0.0481502196642339,6405.0,175,2,0,0,0,0,77,62,26,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,017,1274724.0,0.1496794600242876,1908.0,0.1770884663323574,1955.0,110,0,0,0,0,0,58,36,16,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01,019,749456.0,0.1742597297239597,1306.0,0.1959414504324684,1178.0,172,1,1,0,0,0,83,68,19,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
