,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
Total_1_property,0.00860872091786914,0.012259061057072805,0.009883777543531178,0.0075499928682553905,0.010221123742109563,0.010393223561309964,0.009943506103653483,0.011705347072218583,0.013701186614029368
Total_2_death,0.00104369184460864,0.0016723898522454845,0.0014878480377916996,0.0006582379694645532,0.0008823491437735372,0.000824896804564484,0.0010410641557526154,0.001494417528603372,0.0017168884064638636
Total_2_property,0.008885354492084828,0.01128194061358288,0.007769008552698492,0.006078974933213943,0.009645901873675977,0.0060746426013662735,0.006249102028849837,0.011709362858935552,0.006152578135301252
Total_3_death,0.0004892646411228217,0.0006972131566636878,0.0006945757791522735,0.0002673484039692934,0.0005365146919424611,0.00015755936496169364,0.0005624185567175205,0.0005853148626187936,0.0006543883305546197
Total_3_property,0.007438938086232741,0.011677265830712023,0.006860167973111091,0.004992752495593826,0.00649743157655878,0.005962790689134214,0.007927900265472956,0.010507634583113497,0.007617362244263337
Total_4_death,1.3939624292733023e-05,1.314225677853841e-05,3.340516001594402e-05,1.5285573002554452e-05,7.650457015205901e-06,6.9028480133512195e-06,1.6015461604025543e-05,1.275930030877673e-05,3.3371630534792926e-05
Total_4_property,0.003507454798732225,0.008224866014298188,0.0029792934637324327,0.001762616318210373,0.0038760403581026533,0.002662700766724764,0.004174105504080371,0.006995102962017485,0.004133570677640211
Total_5_death,2.7871450245847934e-08,1.4551055275504665e-07,1.4598231887636792e-08,1.9353965900747662e-08,8.009970254062125e-08,3.429271039417924e-10,3.241319609630418e-08,1.1218952451073748e-07,1.0922431673132795e-08
Total_5_property,0.00032396242758164756,0.0009408692673201189,0.0003679947186013916,0.00017738547227577015,0.0007496934190309161,7.990206950392855e-05,0.00031627886400734757,0.0007934808018099237,0.0004115844743458819
Total_6_death,6.155636534960769e-09,4.513219801294708e-08,6.004362224778168e-10,3.4801997126856253e-09,3.1426428614449615e-08,6.615551699330494e-10,2.4085026266437176e-09,2.3730743547807848e-08,6.53133247257576e-10
Total_6_property,1.822502225078272e-06,5.386370382772386e-06,2.1155194063619005e-06,7.44792921881619e-07,1.5725646859620646e-06,1.5970574982951435e-07,2.527947630388206e-06,5.733008592164125e-06,2.181163176384876e-06
change_mean_daily_mean_temp,0.005342921740838541,0.008857299782895768,0.006376728395318565,0.004315193027052592,0.008606445725054463,0.007101312139862966,0.004965694647975257,0.008201062340836333,0.007516915581126217
historic_mean_avg_temp,0.01322836756170791,0.014225879723738316,0.014713710383323806,0.014270007637694725,0.013613166704913866,0.01873463618141863,0.012771393793195729,0.012680246228751977,0.01759615215368659
historic_mean_precip,0.021834351691451197,0.03148468112323956,0.021857905337443126,0.021418544792486754,0.0337150252243358,0.024576649963186394,0.024798214204855652,0.03255927255036296,0.019355701982175507
median_age,0.010691708786104311,0.009075696055358328,0.017835625404532776,0.011261501903728821,0.008634227724722781,0.01661725482294733,0.010994296332599122,0.00870602110879409,0.022871133622541465
median_house_price_2000,0.10558411261380188,0.03656429687957446,0.10813680876206612,0.10868738218672838,0.036410485059697996,0.08814948691355266,0.09578062597612506,0.03853591819432067,0.12347293080099883
median_household_income,0.010563015367977947,0.013177817721934607,0.01541552432815759,0.008910284796277817,0.012036460478074202,0.009045883289687558,0.008731499625359457,0.011550896060029223,0.015042719179992763
median_household_income_2000,0.20134200328491914,0.23017937280740208,0.16908686904485873,0.221556029856442,0.24577903448666977,0.17062609474981674,0.20774481254285576,0.24221647054298984,0.14069397498522376
median_rent,0.014731474371392765,0.017319527474701907,0.013462241212398182,0.015957306730036626,0.017695955979252723,0.013552857378740327,0.013343601345825584,0.01762741580517237,0.01685817346720005
per_homes_family,0.016912749586649307,0.01631309407100542,0.019150211745787335,0.017962830681716318,0.01665592254161735,0.018595698467239005,0.018084460153273526,0.016442719149841335,0.01737914504906085
per_homes_renter_occupied,0.011489201130206267,0.012977353667419644,0.014459069055638494,0.01035494554035587,0.01260559123234005,0.016264893965066307,0.011301207052957497,0.012165814584568108,0.017275475227954824
per_homes_vaccant_by_homes,0.017300033857007176,0.020640523524534438,0.017098563068224555,0.017942725623395144,0.0205321975598379,0.02088228642112773,0.01834799476809676,0.020795314702374213,0.017709137930640686
per_homes_without_kitchen,0.008448154959821057,0.021637889728641373,0.0053627112611756,0.010548347861501174,0.022409574492748587,0.007382799070519754,0.009704875547625754,0.021448105239456644,0.008297217816541318
per_homes_without_plumbing,0.00998658762611008,0.01999076480032761,0.005803685591657157,0.010179502615113405,0.020334680995641598,0.007342677576329409,0.009695946963197732,0.02052841293522959,0.006037637855255397
per_households_below_poverty_line,0.010224690128564019,0.019361379114734234,0.011374599795062033,0.008892215313151127,0.020300440006518268,0.00731514292778237,0.0108903056814894,0.020829775796740443,0.012911385914441423
per_pop_US_born_other_state,0.007495887188562197,0.007847579196487448,0.0070262969028304706,0.006188393901467749,0.007494435087709202,0.00961761905899598,0.006173627422157344,0.007380107112651866,0.011651208606633571
per_pop_US_born_same_state,0.0066627740201384055,0.009011560681405158,0.00766548221486306,0.00564050988585105,0.008132600018753123,0.009002936849310837,0.006684107801000331,0.007943586819045313,0.010351049547062232
per_pop_edu_associates,0.022130613957352233,0.013228297022478972,0.025728393820992675,0.02045893353888239,0.013556252012333972,0.022467849692678548,0.023431004967147225,0.013428427743389353,0.027986641711821553
per_pop_edu_bachelors,0.020844748244201277,0.020326090881469555,0.024500780387004487,0.01988386412196592,0.02109796182412519,0.037611355015468736,0.019645389260778582,0.01952927603427134,0.025534666601815557
per_pop_edu_graduate,0.021748471943319046,0.013552677141314157,0.031028394618451815,0.0196057292149641,0.011863785419198998,0.024878610390947718,0.02001419609951761,0.01269392595827874,0.026568124829270453
