,STATE_FIPS,COUNTY_FIPS,Inflow_pc,Inflow_gross,Outflow_pc,Outflow_gross,deaths,property_damage,start_year,end_year,historic_mean_precip,historic_mean_avg_temp,change_mean_daily_mean_temp
0,1,1,0.1020994555452837,3596.0,0.1069696667180944,3536.0,2,17204500,2006,2010,54.63594,64.33289488,2.33421054
1,1,3,0.0424206366085208,14501.0,0.027853804602956,9090.0,11,3902000,2006,2010,63.79805,67.47974557,1.99949161
2,1,5,0.1223985087185113,2633.0,0.1501931549002678,2171.0,2,1106500,2006,2010,52.12515,65.1710521,2.23578925
3,1,7,0.2080270836117422,934.0,0.2060488489212575,1880.0,2,1957000,2006,2010,55.13253,62.92000025,2.33613621
4,1,9,0.1202123295806191,3168.0,0.0984616467772027,2797.0,1,6082000,2006,2010,55.77709,60.70681823,2.27681811
5,1,11,0.6115641215715345,660.0,0.2328273842460564,547.0,0,4646000,2006,2010,52.60749,64.44390274,2.20073104
6,1,13,0.0954291271577923,471.0,0.170416092497615,1045.0,0,1779000,2006,2010,55.76891,65.22280045,2.3723999
7,1,15,0.0495552047357504,7506.0,0.0468519276014424,6783.0,1,4959000,2006,2010,54.39602,61.19829252,2.32536549
8,1,17,0.126714577725982,1781.0,0.1642879888834206,2043.0,0,737000,2006,2010,53.84086,62.40243252,2.31216276
9,1,19,0.1746324845049455,1464.0,0.1864413503113967,1269.0,3,3023000,2006,2010,55.787,60.61474981,2.35874958
10,1,21,0.0934673704737249,1668.0,0.112393234975954,1972.0,0,2019000,2006,2010,54.53462,62.92571422,2.21071479
11,1,23,0.1890801929980708,444.0,0.2162492987198449,636.0,3,8395000,2006,2010,55.52755,64.72305046,2.21864467
12,1,25,0.1029180867767012,860.0,0.153808977011555,1744.0,0,5901000,2006,2010,57.7674,65.34063276,2.11367055
13,1,27,0.3645609126130004,813.0,0.3090551181102362,1099.0,1,4268500,2006,2010,56.48048,60.59075012,2.42700014
14,1,29,0.34702695288389,1012.0,0.2940866633892829,670.0,0,3531100,2006,2010,55.02623,59.81205873,2.28499973
15,1,31,0.091770049209049,5171.0,0.0985001438739426,4142.0,11,262944250,2006,2010,56.26505,65.72804837,2.18512186
16,1,33,0.1043299586808541,3538.0,0.1163753389413494,2391.0,1,9823750,2006,2010,56.57323,60.54790683,2.44325594
17,1,35,0.1869971732985431,172.0,0.2697742197299491,585.0,2,3420000,2006,2010,59.44161,65.21589252,2.18267877
18,1,37,0.2411019924515053,879.0,0.6141255076315496,989.0,0,1334000,2006,2010,54.70489,62.16304331,2.29913065
19,1,39,0.0775922851736817,1391.0,0.1144670459151355,1686.0,3,16770000,2006,2010,59.27463,65.18619089,2.17619082
20,1,41,0.2367363128948884,752.0,0.351924787193495,831.0,2,3830000,2006,2010,55.45318,64.84416729,2.27666621
21,1,43,0.072915537063513,4384.0,0.0742410054126313,3551.0,2,9611800,2006,2010,57.33938,60.29235271,2.37078439
22,1,45,0.0884890575459618,7281.0,0.125618639881119,5116.0,0,8481500,2006,2010,54.82097,66.12216269,2.21378409
23,1,47,0.0942382662614728,1842.0,0.0905523377822546,1726.0,0,4342500,2006,2010,53.34647,64.78984136,2.36238056
24,1,49,0.0595380712298785,2803.0,0.0699853331432278,3166.0,2,16129300,2006,2010,55.62954,58.52339619,2.33641505
25,1,51,0.0859950250606987,8322.0,0.0985422248767444,5702.0,0,7225500,2006,2010,54.16127,63.63953497,2.26116261
26,1,53,0.1124558676100948,2322.0,0.0976465319932331,1884.0,1,4611000,2006,2010,61.7589,65.74593211,2.10881327
27,1,55,0.0549579032275188,6160.0,0.0641586802129626,4821.0,1,3205500,2006,2010,54.87009,61.04545443,2.30515162
28,1,57,0.2173089847201421,1274.0,0.3561772333498869,1291.0,1,2892500,2006,2010,57.21411,61.07833336,2.17904781
29,1,59,0.1343050494534096,1419.0,0.2034338450868509,2065.0,0,559000,2006,2010,58.4267,60.04904756,2.42857134
30,1,61,0.1942442665665125,1986.0,0.1584851254733535,1772.0,0,1232500,2006,2010,56.84432,65.99454591,2.14999944
31,1,63,0.2212872910064473,324.0,0.3028009084027252,420.0,5,3630536000,2006,2010,53.18697,63.56317083,2.2060973
