,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_5_Outflow_pc,minus_5_Inflow_pc,minus_5_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
Total_1_property,0.009637636831125292,0.011054084422455368,0.01587089893068258,0.009368882737139197,0.009977330893951745,0.015953998825070547,0.009177932198450454,0.0106434093453063,0.01734346412815253,0.009696650415017678,0.011019556758560737,0.016143830325041856
Total_2_death,0.0017073118722263341,0.002234645259821533,0.0033327841715954823,0.0011627624167408507,0.0014999504668100072,0.0025603454350309383,0.0011048066432900142,0.001774201100158133,0.003337034888990606,0.0013592826677809307,0.0022762710509791045,0.002889191759847795
Total_2_property,0.014636230895586905,0.01927980378593254,0.014275633845132762,0.013050367267671321,0.015906842324073057,0.012931130256226078,0.014072572657398818,0.017303065607969726,0.014759038285847445,0.014629101262597238,0.018960765772851575,0.014417920528227
Total_3_death,0.000770446430301147,0.0011378136700838754,0.0012378544905814093,0.0006655442159570232,0.0009598590049143301,0.0011922713175669055,0.0005672027894154886,0.0011226333981985703,0.001745536528961668,0.0006349856899488281,0.001122700675686755,0.0011598816606735608
Total_3_property,0.01146174911843074,0.015416224510042197,0.012217863204836721,0.00721974469964819,0.008575280666151618,0.009015703514768738,0.007874936319378589,0.010705734212645283,0.010849367967075127,0.01068928839147156,0.014469128921793889,0.011896519641949205
Total_4_death,6.539361229254973e-05,5.1182391771646434e-05,0.0001577586939642553,6.676978257590651e-05,3.0158503470140092e-05,0.000180313472034265,4.67212288753059e-05,3.132730987252286e-05,0.00022945266375453213,5.285294209602892e-05,4.066613687359953e-05,0.00016630287753335748
Total_4_property,0.009076512024595732,0.013562548624950406,0.008203605511748537,0.00421972903148626,0.006115719330567441,0.0058923628613766635,0.004976476660205996,0.008369772528442693,0.007529203792153618,0.007771295029032707,0.011280676406941593,0.00797235767403523
Total_5_death,2.2739499568452874e-07,3.87523685707919e-07,6.659126387090398e-08,5.467092689811748e-08,3.1735544916185877e-07,4.7562203544750884e-08,1.0251989093128663e-07,3.436123044758276e-07,2.212632471841044e-07,3.633184376066028e-07,6.154416216387867e-07,3.0318358106192304e-08
Total_5_property,0.0006744720032743851,0.0013661513641367935,0.0014321487823724583,0.00046259979228824684,0.0007198414373691412,0.0012085132116041197,0.00040872260412625963,0.000811406481253093,0.0017120273045444626,0.000632865855241,0.0010951975894623685,0.0014165222571816862
Total_6_death,1.6527255664265447e-08,8.650194554625393e-08,1.2201734839470345e-08,8.837951641552693e-08,2.0166647696710702e-07,7.600282062794898e-09,6.148399062931479e-08,1.5437080418523473e-07,3.792189696767269e-08,5.079141171501931e-08,2.8369719069056516e-07,2.373068315332064e-09
Total_6_property,1.0319871953528094e-05,1.040950198308759e-05,1.0697491126643544e-05,4.44423405668345e-06,2.8769747561429475e-06,1.3518068483428745e-05,3.7506238481655063e-06,6.016924238045232e-06,2.906515577139903e-05,7.005878334106083e-06,9.208988205233808e-06,1.5188327102364315e-05
change_mean_daily_mean_temp,0.008238348225234534,0.011967915451124913,0.018485879632943816,0.008170293948985505,0.012259833082696988,0.018823096326291915,0.007868429306211022,0.012280228470651931,0.018390381157935964,0.007889219509145323,0.011965510745191268,0.017594382960748677
end_year,0.002478714988184623,0.004596530041182193,0.004581951997341813,0.002691350441323974,0.004687925737575307,0.004147150694823443,0.002482753400264813,0.004468309659488369,0.005896774311003665,0.0023665845626688877,0.0043840630619603705,0.0044801360321247655
historic_mean_avg_temp,0.008938471900574455,0.011938528469614467,0.01929438723833214,0.008723615489139564,0.011791061378156411,0.01954574622492815,0.008494606980593986,0.011441691617834083,0.019202102819182863,0.008395314192010927,0.010952353922147917,0.018653420077286945
historic_mean_precip,0.05861243582322347,0.053565926198183615,0.03558869929325022,0.05273757893408421,0.050802008803644244,0.03587413215507608,0.051056120195989575,0.05176618597730136,0.03433178643102397,0.05311692331962447,0.04853015336119186,0.03745168372767775
median_age,0.017084750733872778,0.008710447798659496,0.027952332505463192,0.017906861619906816,0.008641902682347723,0.02917799540361188,0.016245992215583524,0.008764529385519184,0.02658006898119571,0.015937709514060722,0.0081189773158308,0.028939857600516972
median_house_price_2000,0.0593307778133449,0.04623613684361365,0.060828242754219934,0.061369533681132224,0.04732039666764425,0.058555907296990534,0.05664412437582135,0.048589073707557474,0.05204055939099264,0.05734409983373391,0.047903105722141404,0.05675923073080394
median_household_income,0.007378302478980021,0.00836381532796276,0.014438681200297527,0.007836646202588265,0.00791786892731307,0.014741367838118314,0.007366782823843669,0.008095676913962778,0.016202421675612828,0.007326305613556746,0.008082983270990782,0.014484518715193835
median_household_income_2000,0.34313032565039453,0.32575851263493655,0.20093628328382152,0.35011152068113327,0.3414822717816506,0.20085009615602276,0.3643809986472728,0.33894501982325875,0.17302421703040483,0.36388575323072847,0.3330496214171665,0.2012023772038114
median_rent,0.035873353543383134,0.028521412528816757,0.04292975191947182,0.035834979722579874,0.030666531610298423,0.04295839029250592,0.040310914064547974,0.03133770072418135,0.039434027793025156,0.037960053952487555,0.02761220218894893,0.04659428945913896
per_homes_family,0.00687443149044742,0.008218868038040927,0.014903993215331767,0.007090402870005313,0.008040546771909357,0.015393115407112579,0.006626729458107967,0.008067413160927758,0.01697272404278123,0.006607418936712956,0.007934671308114517,0.01480319307705628
per_homes_renter_occupied,0.011602821832540675,0.010889428496211285,0.017988437959975373,0.01016371201352574,0.010932482487521399,0.019410385749626096,0.01083108777198084,0.010780378995590846,0.020108177142066273,0.010094721525053078,0.011191877833996689,0.018948460049866306
per_homes_vaccant_by_homes,0.03034135733681395,0.022235500541844,0.034798866060431866,0.02972715292694091,0.021834668508909263,0.03280951202797947,0.031101202249569814,0.02129561839207004,0.03211749310602302,0.029830394644981707,0.023139337765357103,0.03319853690230043
per_homes_without_kitchen,0.010904992043545435,0.012689092095883732,0.014210919940533239,0.010202150440987092,0.014341866849763628,0.014584832252353888,0.010466154753909404,0.012752787570929305,0.016018329907924237,0.01063977935254744,0.015237820932583692,0.013939870440079731
per_homes_without_plumbing,0.017534388635802218,0.025134557050184615,0.015571608403770792,0.0161921913823624,0.022415130948381986,0.01516923834755149,0.017659353351778765,0.02369280074049476,0.01639229349852485,0.01726468987476566,0.02474804838708386,0.014865506050121116
