,from_2000_Outflow_pc,from_2000_Inflow_pc,from_2000_Net_pc,minus_3_Outflow_pc,minus_3_Inflow_pc,minus_3_Net_pc,minus_5_Outflow_pc,minus_5_Inflow_pc,minus_5_Net_pc,minus_10_Outflow_pc,minus_10_Inflow_pc,minus_10_Net_pc
Total_1_death,0.007768251446871979,0.0052731491045890765,0.013211112315156075,0.006196095165366762,0.0038678502231184715,0.010250761494813796,0.002956709749935858,0.004424583933773221,0.005549815130060051,0.006025431552649616,0.004358956952026258,0.007186033247982988
Total_1_property,0.010080993139110818,0.006795770641775004,0.009308864750067966,0.004504618276859733,0.00321475755590464,0.010937429312265165,0.004080351157847478,0.0033131535144818123,0.011547435887200603,0.009919469344540414,0.004319118224161404,0.008417910408195336
Total_2_death,0.0005826683176246828,0.00034314302987901974,0.0012640046331586893,0.0014019273758897285,0.00030673231656036477,0.0016455341211944444,0.0004920732210024767,0.00036440306516579357,0.0015109234960011652,0.0003170860905413512,0.0002851380738280168,0.0008353024373364108
Total_2_property,0.0037974330055513396,0.004769533838476909,0.005907620387627635,0.006582039190790444,0.004612583670666635,0.00546291410125899,0.0031908905838297814,0.0038639752849818606,0.009044350688699321,0.0029943003206112707,0.0044481443487208935,0.003665222224802081
Total_3_death,0.00018699367485911964,0.00012608296766991348,0.0006464042757201177,0.0007415016836157804,0.0002496846218232203,0.0011546181824971613,0.000395535019823888,0.000203115991363367,0.0004157811206904152,0.0022198084225348003,0.00012175191232580784,0.00021781166684982034
Total_3_property,0.0015320541441611088,0.004696151895042913,0.00269422655942978,0.002611386363908496,0.00227706549524262,0.003016644977778103,0.0018664314576520833,0.002633888526874729,0.0038281450859217014,0.002917277962737829,0.0026728292702854306,0.002484334059943923
Total_4_death,1.6764012984136438e-05,2.7266246093516933e-06,1.820056051123476e-06,1.1792246926233976e-05,1.7054421833685189e-06,5.411895481456216e-06,5.827621719717241e-06,2.4838966294096217e-06,8.790784119375176e-06,1.3503518512923415e-05,1.6528218521913538e-05,1.634563809445221e-05
Total_4_property,0.0005865414602356325,0.002179414113165327,0.0013964416771974088,0.0010728560713759812,0.0013765749201389537,0.0030524977988940437,0.0008070013379323929,0.001685288007484872,0.0013381830817734744,0.0014222750486886785,0.0025857825744778438,0.002043558128735539
Total_5_death,5.8496547926699816e-12,2.2281975251941172e-09,1.0860250322283712e-09,4.077609373982773e-11,5.4761304096386884e-08,2.8091185951061083e-11,1.3586232691344652e-09,1.0568936103473311e-08,4.600011554614215e-09,1.2191651936701874e-11,1.3023661994787482e-09,6.758636211766258e-09
Total_5_property,0.00011235631490583267,0.00039683867676671607,0.00025348339018956516,0.00024931849275270317,0.0004423708070342907,0.0004035061327269128,0.00012328659751676302,0.0002246793201588514,0.00010874276447006658,9.984925899004839e-05,0.0002344272232643559,0.00021003789647653707
Total_6_death,0.0,0.0,2.1573935490801606e-11,1.7631943504147316e-10,2.453472314413646e-08,4.7918054780809975e-11,0.0,0.0,0.0,0.0,0.0,1.3081427332281283e-10
Total_6_property,5.1913139726089365e-08,5.649241279331371e-07,8.28690777868593e-07,2.2215131593069862e-07,2.779174486973835e-07,3.567862428702361e-07,5.574726377414587e-07,3.1364782117427585e-07,1.246039171243512e-06,4.3615769226508595e-08,3.027842397767634e-07,1.744838990154863e-06
change_mean_annual_max_temp,0.001896302628756438,0.004315746241617329,0.0030348015001681453,0.002773928952366156,0.002994748537373708,0.00501479371249303,0.0011386812653970415,0.004054501027546837,0.006708471846909418,0.002763947886856517,0.0028268308141058255,0.0045440410257656175
change_mean_daily_max_temp,0.0015668727820088006,0.00266962561689522,0.003089244619859517,0.0021505581713346295,0.003349287787127695,0.004101592890536032,0.0011947714185203532,0.0024417612066107187,0.0043305795833419045,0.0031325974755679322,0.0034529340383625457,0.0038113793227585297
change_mean_daily_mean_temp,0.0009920741809338605,0.008810994132794419,0.0024788218641126894,0.0021739980426267666,0.005963207741409548,0.0020506382247557535,0.0018178733404993043,0.003383067479077872,0.003170178477161596,0.0020905590215285663,0.008180839980600403,0.0025115874916025295
change_mean_daily_min_temp,0.0024620147871513053,0.006926914560201756,0.0022653923556295074,0.0030280293919430173,0.0060559942509111125,0.002895744282111465,0.0032681728428141156,0.008992240578687558,0.00410744769747309,0.003971577970518644,0.008090529060263443,0.00314177314946169
historic_annual_max_temp,0.0035733337869358174,0.0069237410107166044,0.005107819985819192,0.007513960979754813,0.006154952783456991,0.005542421064909351,0.0053753700583404965,0.008792771906595253,0.005417248063062181,0.010900857704943237,0.015543455545314189,0.006705929834567695
historic_mean_avg_temp,0.001319298835364396,0.003973053937699938,0.0034303199039604593,0.002573451212687656,0.0017857463788932615,0.0034745688729562146,0.0016716584887342973,0.003310068865430148,0.0026379838469909422,0.0036826797539327555,0.0027943715897006003,0.0027358476536929566
historic_mean_max_temp,0.0027235407040368457,0.00424943363752323,0.0021995561174290384,0.0027434901643319325,0.006590545443209679,0.0057685525875986274,0.0014786264915322485,0.00345205956383566,0.0026510396363664313,0.002748422212861038,0.00585405615108643,0.002726950594521815
historic_mean_min_temp,0.0020158618564330073,0.00565228514390746,0.0038803997541019737,0.0033661835647036857,0.002751910238385996,0.0032852862275997395,0.001112367890070451,0.0036164479281662167,0.002970355243403018,0.00396687765554532,0.0027150530122500975,0.0031581660361119884
historic_mean_precip,0.0024925154415434917,0.007115917534486539,0.004380447171218044,0.004987928119267742,0.0057349812713863,0.0061534568516999665,0.003176114202012092,0.017527108090603885,0.0047197707271194045,0.003908599231203163,0.008806265257061055,0.004456097675623698
median_age,0.014051277140035083,0.0073403764847433176,0.03599447889165764,0.018574245565355713,0.010040295505194499,0.019194879639177237,0.013850478277891693,0.007531592574513858,0.05094626896328326,0.015446354857102957,0.008583252730855416,0.03597782811962007
median_house_price_2000,0.16899765897343508,0.018264567101496824,0.15598064834464317,0.008633161167284712,0.06051977257204958,0.1467658288266511,0.09784221933585298,0.010836949097968456,0.14479481128678132,0.010292759391384585,0.025296937049545835,0.14874146756404716
median_house_value_USD,0.007924504569328805,0.005899441005220139,0.01446837261789883,0.0057625896371871375,0.006738458931191117,0.008138029834154747,0.002827271609625921,0.004995924170363503,0.01537736958239095,0.005086697596424033,0.005242643780612668,0.008626100854189394
median_household_income,0.006781737164172289,0.006746012374053882,0.013710530023415513,0.014853913926181446,0.0065783653339024075,0.012966307980748588,0.008494039318740324,0.008973026263092609,0.014897428107498856,0.008904732487223978,0.006983206987306017,0.01728116437337638
median_household_income_2000,0.5164480751214527,0.6613458585737603,0.2588953120909274,0.6328148518269314,0.6315975309249564,0.20138012747292966,0.4887525911798701,0.6536213777667339,0.32736693763369457,0.6551365815904434,0.6351777858258323,0.3054893790554971
median_rent,0.007527326071874062,0.009688728246558066,0.04534345478474939,0.023476096430227113,0.00821912737767513,0.03447789217259848,0.016243167885426166,0.011408297904996057,0.0195881420493939,0.03201983551842648,0.01123001756525176,0.046056699611282975
