,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2017,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,424.0,,517.0,1513.0,2328.0,1974.0,336.0,22.0,14171.0,22363.0,93.0,627.0,118.0,2399.0,2295.0,646.0,2157.0,2308.0,450.0,801.0,56.0,1821.0,420.0,544.0,7798.0,247.0,4245.0,878.0,167.0,245.0,1103.0,1007.0,1989.0,2203.0,1702.0,877.0,444.0,1595.0,476.0,848.0,1896.0,96.0,8018.0,8825.0,998.0,4277.0,0.0,1289.0,1121.0,1070.0,104.0,0.0,Georgia,Georgia,,,111901.0,101860.0,4874486.0,0.02295647171824886,0.02089656222215019,,0.0020599094960986677,10041.0,AL,GA,GA,Foreign
1,Alaska,,942.0,203.0,1387.0,3556.0,1487.0,0.0,0.0,906.0,422.0,424.0,1083.0,225.0,723.0,186.0,17.0,397.0,327.0,111.0,325.0,225.0,524.0,1077.0,143.0,172.0,156.0,345.0,103.0,282.0,0.0,485.0,64.0,633.0,757.0,448.0,373.0,1232.0,274.0,0.0,216.0,270.0,6.0,544.0,2165.0,465.0,360.0,0.0,3653.0,2500.0,0.0,6.0,965.0,Washington,Washington,,,31164.0,42977.0,739700.0,0.042130593483844805,0.058100581316750034,,-0.01596998783290523,-11813.0,AK,WA,WA,Foreign
2,Arizona,2255.0,1337.0,1763.0,,59233.0,12810.0,730.0,810.0,8522.0,5278.0,2651.0,3423.0,3991.0,13095.0,3381.0,2506.0,1708.0,2174.0,2382.0,1108.0,194.0,5651.0,7093.0,5195.0,1261.0,2436.0,4429.0,2725.0,1870.0,578.0,4329.0,6455.0,7647.0,5674.0,5095.0,4856.0,10701.0,6332.0,438.0,141.0,1214.0,1458.0,2194.0,12793.0,8594.0,3593.0,96.0,14392.0,3897.0,318.0,997.0,91.0,California,California,,,261894.0,162773.0,7044008.0,0.037179685201947525,0.023108008963078974,,0.014071676238868552,99121.0,AZ,CA,CA,Foreign
3,Arkansas,241.0,574.0,,1060.0,5334.0,2547.0,0.0,0.0,1525.0,1805.0,0.0,176.0,582.0,2252.0,1810.0,2021.0,1222.0,2867.0,97.0,1425.0,0.0,961.0,808.0,6759.0,4171.0,118.0,1749.0,88.0,475.0,78.0,359.0,414.0,439.0,283.0,39.0,7854.0,749.0,2639.0,573.0,0.0,487.0,0.0,5383.0,15767.0,657.0,1087.0,0.0,1539.0,958.0,0.0,12.0,0.0,Texas,Texas,,,79984.0,69745.0,3001345.0,0.026649385525489407,0.023237915001441022,,0.0034114705240483843,10239.0,AR,TX,TX,Foreign
4,California,2606.0,3715.0,3471.0,26907.0,,25038.0,5935.0,491.0,24611.0,10233.0,12776.0,4163.0,5626.0,27117.0,5190.0,5202.0,3431.0,5169.0,16774.0,11303.0,2578.0,11538.0,7487.0,6841.0,3299.0,2809.0,13523.0,2223.0,2419.0,1216.0,12906.0,5312.0,23768.0,34278.0,11410.0,4890.0,20548.0,16141.0,1864.0,1763.0,7134.0,1403.0,5413.0,40999.0,9925.0,21162.0,895.0,33143.0,9348.0,789.0,1395.0,842.0,Texas,Texas,,,519019.0,658830.0,39358497.0,0.013186961890338444,0.016739206276093318,,-0.0035522443857548738,-139811.0,CA,TX,TX,Foreign
5,Colorado,2030.0,3120.0,1356.0,6765.0,27014.0,,1800.0,764.0,12385.0,4712.0,3512.0,3035.0,2984.0,10652.0,2754.0,6653.0,2195.0,2195.0,2785.0,3420.0,448.0,2661.0,4369.0,3774.0,1085.0,675.0,6273.0,1286.0,4541.0,1416.0,5166.0,4715.0,3800.0,8560.0,5144.0,5180.0,4359.0,4840.0,828.0,963.0,2221.0,1453.0,2453.0,25212.0,3417.0,6099.0,471.0,6675.0,3506.0,42.0,5135.0,568.0,California,California,,,227466.0,193187.0,5611885.0,0.04053290471918081,0.03442461846598781,,0.006108286253192999,34279.0,CO,CA,CA,Foreign
6,Connecticut,540.0,206.0,160.0,644.0,2807.0,370.0,,463.0,6589.0,1531.0,473.0,0.0,0.0,697.0,534.0,0.0,227.0,716.0,12004.0,992.0,627.0,376.0,160.0,1601.0,0.0,0.0,1910.0,187.0,154.0,472.0,3930.0,825.0,142.0,28542.0,1171.0,400.0,579.0,3263.0,3780.0,2061.0,1019.0,0.0,166.0,3698.0,149.0,1314.0,393.0,374.0,188.0,0.0,257.0,0.0,New York,New York,,,86691.0,99122.0,3573297.0,0.02426078772629311,0.02773964772589572,,-0.00347885999960261,-12431.0,CT,NY,NY,Foreign
7,Delaware,0.0,506.0,0.0,76.0,580.0,144.0,174.0,,1335.0,179.0,110.0,0.0,0.0,857.0,41.0,0.0,21.0,73.0,396.0,9748.0,0.0,441.0,45.0,153.0,0.0,0.0,327.0,0.0,0.0,0.0,4006.0,44.0,0.0,3564.0,80.0,295.0,104.0,11035.0,260.0,0.0,144.0,0.0,318.0,1152.0,32.0,1510.0,59.0,0.0,296.0,371.0,0.0,66.0,Pennsylvania,Pennsylvania,,,38542.0,35579.0,956823.0,0.04028122233683764,0.0371845158404428,,0.0030967064963948396,2963.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694906.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,1400.0,9389.0,3028.0,5577.0,30919.0,12061.0,11249.0,3831.0,,38800.0,2092.0,3466.0,1359.0,28631.0,11833.0,3376.0,9762.0,6403.0,18212.0,18907.0,2960.0,19169.0,7614.0,8820.0,4236.0,755.0,23270.0,702.0,987.0,5887.0,27892.0,2811.0,4681.0,63722.0,22946.0,6123.0,3231.0,28507.0,28538.0,3259.0,10521.0,763.0,12023.0,31625.0,6063.0,28232.0,2816.0,6176.0,7202.0,2187.0,396.0,2847.0,New York,Georgia,,,597256.0,448738.0,20963613.0,0.028490127155085337,0.021405565920340163,,0.007084561234745174,148518.0,FL,NY,GA,Foreign
10,Georgia,986.0,15270.0,2055.0,6218.0,12052.0,4981.0,2216.0,997.0,47035.0,,1482.0,1079.0,1825.0,12025.0,3319.0,5213.0,2226.0,6379.0,2834.0,4027.0,132.0,5249.0,2591.0,4008.0,4597.0,61.0,12684.0,32.0,650.0,975.0,7389.0,1801.0,349.0,15395.0,9472.0,2285.0,718.0,5967.0,3345.0,644.0,15269.0,132.0,15224.0,19969.0,1503.0,11256.0,38.0,2649.0,3504.0,420.0,630.0,306.0,Florida,Florida,,,281463.0,253823.0,10410330.0,0.02703689508401751,0.024381839960885006,,0.002655055123132504,27640.0,GA,FL,FL,Foreign
11,Hawaii,424.0,844.0,48.0,1666.0,8843.0,1584.0,238.0,14.0,2460.0,2915.0,,779.0,466.0,1062.0,327.0,637.0,0.0,248.0,862.0,629.0,0.0,353.0,97.0,700.0,171.0,0.0,1399.0,62.0,136.0,0.0,125.0,784.0,1525.0,804.0,1053.0,0.0,1103.0,1218.0,11.0,5.0,1262.0,45.0,495.0,4078.0,962.0,2656.0,0.0,2837.0,213.0,0.0,96.0,1572.0,California,California,,,47808.0,66568.0,1424393.0,0.03356377067284099,0.0467342931339876,,-0.013170522461146611,-18760.0,HI,CA,CA,Foreign
12,Idaho,796.0,58.0,265.0,1523.0,21372.0,3823.0,0.0,126.0,1833.0,444.0,765.0,0.0,,357.0,169.0,0.0,269.0,281.0,0.0,305.0,270.0,630.0,348.0,1216.0,261.0,938.0,1294.0,1900.0,514.0,0.0,70.0,570.0,2195.0,598.0,407.0,227.0,3866.0,582.0,67.0,0.0,145.0,140.0,749.0,3685.0,7226.0,612.0,0.0,8881.0,442.0,0.0,1747.0,0.0,California,Washington,,,71966.0,56793.0,1717715.0,0.041896356496857745,0.03306311000369677,,0.008833246493160973,15173.0,ID,CA,WA,Foreign
13,Illinois,270.0,1682.0,2591.0,4159.0,16046.0,5172.0,1860.0,120.0,10513.0,4420.0,460.0,8837.0,670.0,,16998.0,1212.0,2985.0,1053.0,2998.0,2681.0,173.0,10793.0,5286.0,16147.0,2409.0,187.0,3923.0,576.0,2290.0,310.0,3698.0,632.0,2565.0,6377.0,6736.0,686.0,962.0,3090.0,1829.0,266.0,1848.0,686.0,5086.0,11642.0,1160.0,4127.0,51.0,4846.0,12274.0,130.0,414.0,0.0,Indiana,Indiana,,,195926.0,336880.0,12778828.0,0.015332078966866131,0.02636235498278872,,-0.011030276015922588,-140954.0,IL,IN,IN,Foreign
14,Indiana,131.0,1216.0,852.0,948.0,10096.0,1692.0,413.0,0.0,9027.0,4224.0,424.0,1825.0,39.0,29526.0,,1590.0,11298.0,1223.0,957.0,1093.0,0.0,8377.0,1400.0,1288.0,641.0,192.0,3293.0,78.0,518.0,69.0,2836.0,1459.0,919.0,1551.0,10940.0,1695.0,668.0,1341.0,144.0,0.0,962.0,372.0,5122.0,10543.0,1240.0,1867.0,512.0,2782.0,3757.0,1044.0,0.0,93.0,Illinois,Illinois,,,142277.0,131979.0,6658078.0,0.021369079785487643,0.019822387181405804,,0.001546692604081839,10298.0,IN,IL,IL,Foreign
15,Iowa,629.0,817.0,693.0,2346.0,2625.0,2257.0,150.0,95.0,3945.0,2475.0,266.0,,1005.0,12997.0,1390.0,2895.0,467.0,327.0,288.0,579.0,54.0,629.0,6834.0,4510.0,164.0,443.0,1827.0,332.0,6639.0,46.0,205.0,138.0,874.0,306.0,991.0,478.0,707.0,1418.0,67.0,158.0,411.0,2685.0,1152.0,3315.0,489.0,774.0,227.0,1405.0,3011.0,550.0,54.0,0.0,Illinois,Illinois,,,77139.0,79459.0,3141550.0,0.02455443968741545,0.025292928649870285,,-0.000738488962454837,-2320.0,IA,IL,IL,Foreign
16,Kansas,515.0,276.0,1225.0,1404.0,6511.0,5871.0,412.0,0.0,2661.0,2490.0,419.0,2119.0,54.0,2840.0,1433.0,,168.0,580.0,417.0,623.0,24.0,378.0,679.0,21605.0,552.0,338.0,1165.0,90.0,2939.0,338.0,408.0,493.0,785.0,2196.0,2044.0,6508.0,333.0,674.0,347.0,0.0,0.0,729.0,788.0,9814.0,981.0,1029.0,0.0,801.0,317.0,0.0,123.0,0.0,Missouri,Missouri,,,86496.0,99660.0,2908718.0,0.02973681188757384,0.034262517026401325,,-0.004525705138827486,-13164.0,KS,MO,MO,Foreign
17,Kentucky,506.0,2851.0,342.0,333.0,4466.0,614.0,799.0,558.0,6318.0,2654.0,222.0,558.0,31.0,5333.0,10192.0,1068.0,,1205.0,555.0,1413.0,0.0,1602.0,577.0,1643.0,495.0,169.0,3228.0,132.0,570.0,292.0,730.0,1409.0,215.0,2115.0,19493.0,1345.0,368.0,1543.0,1402.0,154.0,1473.0,73.0,11642.0,6677.0,0.0,2453.0,85.0,1428.0,1599.0,2140.0,266.0,0.0,Ohio,Ohio,,,105336.0,99214.0,4452268.0,0.023658953144779244,0.0222839236092706,,0.0013750295355086442,6122.0,KY,OH,OH,Foreign
18,Louisiana,199.0,2830.0,3289.0,520.0,5534.0,1575.0,407.0,0.0,4404.0,3382.0,555.0,472.0,0.0,1829.0,327.0,581.0,443.0,,350.0,756.0,0.0,2003.0,84.0,975.0,9011.0,347.0,1931.0,363.0,141.0,595.0,522.0,298.0,237.0,1854.0,983.0,912.0,265.0,883.0,455.0,48.0,903.0,16.0,1733.0,17674.0,34.0,2073.0,0.0,623.0,319.0,261.0,195.0,0.0,Texas,Texas,,,73191.0,101751.0,4670560.0,0.01567071186324552,0.02178561029084307,,-0.006114898427597548,-28560.0,LA,TX,TX,Foreign
19,Maine,163.0,246.0,12.0,322.0,1578.0,849.0,1690.0,111.0,3059.0,1241.0,0.0,0.0,180.0,152.0,99.0,0.0,41.0,455.0,7567.0,88.0,,227.0,241.0,659.0,67.0,0.0,1074.0,0.0,276.0,4274.0,662.0,38.0,64.0,2478.0,427.0,11.0,294.0,1629.0,12.0,336.0,189.0,0.0,255.0,491.0,444.0,1162.0,569.0,336.0,0.0,72.0,0.0,0.0,Massachusetts,Massachusetts,,,34140.0,27303.0,1334612.0,0.025580468330870694,0.020457631131744657,,0.005122837199126037,6837.0,ME,MA,MA,Foreign
