,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2018,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,419.0,,1051.0,1915.0,2659.0,1672.0,747.0,826.0,14298.0,18433.0,627.0,704.0,0.0,3310.0,1874.0,357.0,4216.0,2837.0,445.0,493.0,0.0,2231.0,915.0,1851.0,7653.0,76.0,2224.0,0.0,756.0,0.0,1213.0,58.0,97.0,3226.0,1299.0,931.0,0.0,1771.0,957.0,0.0,1218.0,281.0,12228.0,5719.0,79.0,5221.0,0.0,2125.0,996.0,176.0,74.0,13267.0,893.0,Georgia,Georgia,Georgia,111151.0,124418.0,98020.0,4887681.0,0.025455425589354132,0.020054500283467763,0.022741050408158797,0.0026865501246910346,13131.0,AL,GA,GA,GA
1,Alaska,,518.0,722.0,910.0,3455.0,1847.0,0.0,0.0,1172.0,565.0,1029.0,26.0,497.0,1024.0,165.0,800.0,162.0,83.0,170.0,548.0,16.0,791.0,586.0,938.0,330.0,534.0,1676.0,210.0,413.0,0.0,335.0,489.0,2013.0,380.0,176.0,184.0,1896.0,111.0,344.0,38.0,389.0,175.0,171.0,2322.0,410.0,654.0,5.0,2558.0,340.0,0.0,192.0,4518.0,267.0,Foreign Country,Oregon,California,32636.0,37154.0,39246.0,735139.0,0.05054010193990524,0.05338582227306673,0.044394325426892055,-0.008991496846174674,-6610.0,AK,Foreign,OR,CA
2,Arizona,2743.0,2801.0,1487.0,,68516.0,11517.0,503.0,49.0,6701.0,3149.0,591.0,3049.0,2733.0,13247.0,2555.0,3802.0,1265.0,1416.0,1299.0,2955.0,353.0,4477.0,6206.0,4476.0,1780.0,1419.0,6587.0,2169.0,1663.0,1500.0,4084.0,6866.0,8057.0,5281.0,6322.0,2530.0,13697.0,3692.0,1289.0,323.0,2252.0,913.0,1291.0,20245.0,5828.0,4956.0,37.0,17560.0,7788.0,29.0,929.0,37533.0,1449.0,California,California,California,276426.0,313959.0,179577.0,7158024.0,0.04386112703729409,0.025087510184374905,0.03861764084613296,0.013530130661758052,96849.0,AZ,CA,CA,CA
3,Arkansas,413.0,438.0,,602.0,3728.0,3255.0,159.0,126.0,3966.0,929.0,468.0,119.0,0.0,3359.0,1241.0,1072.0,831.0,2311.0,139.0,470.0,27.0,584.0,196.0,9400.0,2568.0,76.0,638.0,225.0,76.0,156.0,277.0,214.0,84.0,139.0,857.0,8490.0,254.0,860.0,1693.0,0.0,121.0,146.0,5492.0,15531.0,712.0,900.0,0.0,1328.0,130.0,72.0,0.0,7021.0,0.0,Texas,Texas,Texas,74872.0,81893.0,69724.0,3009733.0,0.027209390334624366,0.02316617454106394,0.024876625268753075,0.0017104507276891334,5148.0,AR,TX,TX,TX
4,California,2155.0,4591.0,2573.0,33670.0,,18755.0,6366.0,1143.0,22464.0,11753.0,12848.0,2461.0,4224.0,22165.0,6313.0,4826.0,2010.0,4441.0,17529.0,11042.0,1294.0,10335.0,6221.0,7981.0,2393.0,2481.0,11400.0,1909.0,3619.0,682.0,11666.0,3822.0,22433.0,34848.0,13999.0,4901.0,24050.0,11848.0,1250.0,1738.0,4896.0,1296.0,8060.0,37810.0,9440.0,17725.0,1641.0,38007.0,5364.0,1246.0,1526.0,283649.0,3712.0,Foreign Country,Texas,Washington,500922.0,784571.0,687862.0,39461588.0,0.01988189122039387,0.01743117889731148,0.012693913889121746,-0.0047372650081897345,-186940.0,CA,Foreign,TX,WA
5,Colorado,2102.0,3597.0,1442.0,7987.0,28288.0,,1498.0,190.0,14017.0,8239.0,3356.0,2385.0,1268.0,7783.0,2945.0,5071.0,2754.0,1216.0,3949.0,3454.0,912.0,4253.0,5208.0,6803.0,597.0,3731.0,6336.0,1118.0,6025.0,183.0,1780.0,11444.0,3455.0,6362.0,3169.0,5956.0,2890.0,4701.0,1104.0,706.0,3203.0,2176.0,1444.0,26930.0,4833.0,9260.0,1043.0,6686.0,3100.0,238.0,1951.0,37082.0,126.0,Foreign Country,Texas,California,239264.0,276346.0,203846.0,5691287.0,0.048555976881854666,0.03581720619606778,0.04204040316364295,0.006223196967575173,35418.0,CO,Foreign,TX,CA
6,Connecticut,8.0,1054.0,51.0,1204.0,3870.0,1105.0,,1015.0,4563.0,2606.0,472.0,86.0,0.0,1513.0,237.0,79.0,233.0,597.0,7630.0,1182.0,1342.0,819.0,106.0,69.0,0.0,35.0,1145.0,0.0,0.0,939.0,4573.0,0.0,149.0,27361.0,1410.0,172.0,642.0,3446.0,4485.0,2136.0,1811.0,0.0,743.0,4044.0,1305.0,2294.0,595.0,1062.0,328.0,181.0,0.0,25741.0,699.0,New York,Florida,New York,89396.0,115137.0,114981.0,3571520.0,0.03223753471911119,0.032193855837290564,0.025030239225875817,-0.007163616611414746,-25585.0,CT,NY,FL,NY
7,Delaware,0.0,39.0,0.0,115.0,551.0,0.0,487.0,,1122.0,118.0,0.0,205.0,0.0,191.0,50.0,747.0,94.0,468.0,481.0,5639.0,101.0,153.0,0.0,0.0,148.0,0.0,586.0,167.0,86.0,157.0,6112.0,30.0,0.0,2907.0,446.0,0.0,0.0,9991.0,185.0,187.0,470.0,0.0,103.0,378.0,99.0,1458.0,305.0,0.0,0.0,124.0,0.0,2577.0,50.0,Pennsylvania,Pennsylvania,Pennsylvania,34550.0,37127.0,33213.0,965479.0,0.038454487358088575,0.03440054107857343,0.035785345926736885,0.0013848048481634526,1337.0,DE,PA,PA,PA
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701547.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,1388.0,12870.0,3239.0,4542.0,26888.0,15746.0,18291.0,4124.0,,35350.0,3008.0,3538.0,1594.0,27622.0,11784.0,2970.0,11330.0,4389.0,20314.0,15173.0,2783.0,20852.0,6820.0,9774.0,2984.0,1007.0,26708.0,1485.0,3893.0,5137.0,30105.0,2558.0,3772.0,63033.0,22452.0,3190.0,3639.0,31712.0,44710.0,4219.0,15250.0,3062.0,13285.0,24197.0,3558.0,31798.0,1723.0,9045.0,7573.0,5760.0,744.0,172958.0,3860.0,Foreign Country,Georgia,New York,634848.0,807806.0,475104.0,21244317.0,0.03802456911182412,0.022363816167872096,0.029883191820193607,0.007519375652321511,159744.0,FL,Foreign,GA,NY
