,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2007,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,813.0,,2260.0,993.0,4664.0,1413.0,342.0,315.0,17935.0,22893.0,746.0,485.0,105.0,3721.0,2814.0,361.0,2350.0,6577.0,542.0,1592.0,132.0,4305.0,453.0,1854.0,11124.0,27.0,3695.0,146.0,351.0,220.0,1744.0,475.0,470.0,4074.0,3521.0,1622.0,171.0,1413.0,280.0,54.0,2003.0,21.0,9317.0,8424.0,557.0,3300.0,209.0,1341.0,873.0,352.0,408.0,Georgia,Georgia,,,133857.0,108700.0,4672840.0,0.028645748623963158,0.02326208472791707,,0.005383663896046088,25157.0,AL,GA,GA,Foreign
1,Alaska,,800.0,313.0,1367.0,4019.0,1353.0,225.0,0.0,1050.0,1414.0,812.0,163.0,504.0,579.0,363.0,563.0,183.0,244.0,462.0,460.0,183.0,687.0,727.0,560.0,612.0,649.0,672.0,158.0,433.0,155.0,125.0,259.0,636.0,549.0,407.0,396.0,2096.0,427.0,180.0,73.0,568.0,134.0,672.0,3056.0,1210.0,1066.0,0.0,4610.0,862.0,12.0,170.0,Washington,California,,,37218.0,61578.0,680300.0,0.05470821696310451,0.09051594884609732,,-0.035807731882992806,-24360.0,AK,WA,CA,Foreign
2,Arizona,2487.0,1745.0,1572.0,,82443.0,9776.0,1491.0,392.0,6740.0,2715.0,2160.0,3078.0,3172.0,11017.0,4337.0,2397.0,1464.0,1806.0,3186.0,2830.0,1027.0,10484.0,6433.0,3412.0,1057.0,1853.0,3455.0,1010.0,1907.0,884.0,4083.0,10864.0,10528.0,6694.0,6853.0,2960.0,6625.0,5126.0,258.0,530.0,1667.0,1393.0,3054.0,16760.0,7219.0,3786.0,295.0,10754.0,5642.0,473.0,1324.0,California,California,,,283218.0,185974.0,6167681.0,0.0459196900747623,0.03015298618719094,,0.01576670388757136,97244.0,AZ,CA,CA,Foreign
3,Arkansas,551.0,2100.0,,3152.0,7998.0,1713.0,195.0,28.0,3922.0,1331.0,714.0,427.0,288.0,3167.0,1120.0,1863.0,1322.0,6649.0,827.0,381.0,9.0,1622.0,1345.0,9492.0,3302.0,88.0,1202.0,113.0,556.0,425.0,791.0,1347.0,974.0,1316.0,1370.0,7978.0,576.0,653.0,274.0,0.0,1392.0,157.0,5948.0,18250.0,724.0,1022.0,52.0,1429.0,1440.0,189.0,241.0,Texas,Texas,,,102025.0,77518.0,2848650.0,0.03581521071384691,0.027212188229512223,,0.008603022484334689,24507.0,AR,TX,TX,Foreign
4,California,5847.0,4240.0,3664.0,32700.0,,18667.0,6825.0,725.0,27870.0,12422.0,14077.0,3472.0,5865.0,22890.0,6867.0,4513.0,2961.0,8336.0,12751.0,8666.0,1668.0,12565.0,7703.0,8048.0,4147.0,2542.0,13015.0,1191.0,3144.0,1364.0,10541.0,5886.0,28961.0,28168.0,11175.0,5305.0,20347.0,11288.0,1178.0,1599.0,3255.0,883.0,6180.0,42744.0,11233.0,16124.0,867.0,30790.0,6975.0,373.0,1563.0,Texas,Arizona,,,504180.0,728905.0,36250311.0,0.013908294469528827,0.020107551629005335,,-0.006199257159476508,-224725.0,CA,TX,AZ,Foreign
5,Colorado,2072.0,1555.0,1459.0,10835.0,31055.0,,1355.0,218.0,9463.0,3427.0,1713.0,1962.0,1313.0,5855.0,2436.0,5013.0,1074.0,2291.0,3523.0,2736.0,827.0,2397.0,3535.0,4561.0,884.0,1984.0,4034.0,923.0,5119.0,806.0,1534.0,5902.0,3693.0,5071.0,4464.0,3853.0,4241.0,3341.0,24.0,778.0,739.0,1346.0,1920.0,18689.0,4762.0,4114.0,325.0,4291.0,3131.0,417.0,5035.0,California,California,,,192095.0,168519.0,4803868.0,0.03998756835117035,0.035079856482318,,0.004907711868852353,23576.0,CO,CA,CA,Foreign
6,Connecticut,197.0,396.0,74.0,348.0,3961.0,1094.0,,128.0,6746.0,895.0,379.0,252.0,85.0,2013.0,509.0,374.0,286.0,260.0,10075.0,2106.0,910.0,1095.0,238.0,364.0,16.0,65.0,2268.0,21.0,401.0,1583.0,4936.0,54.0,358.0,25969.0,1382.0,57.0,242.0,2775.0,1832.0,3239.0,969.0,22.0,447.0,2737.0,429.0,1942.0,1320.0,682.0,161.0,127.0,0.0,New York,Florida,,,86819.0,105306.0,3527270.0,0.024613653051793596,0.029854816898054304,,-0.005241163846260707,-18487.0,CT,NY,FL,Foreign
7,Delaware,113.0,287.0,176.0,194.0,530.0,251.0,385.0,,1633.0,695.0,0.0,90.0,64.0,415.0,305.0,108.0,98.0,160.0,679.0,7075.0,100.0,480.0,86.0,115.0,247.0,0.0,721.0,0.0,21.0,54.0,5009.0,54.0,256.0,3602.0,406.0,111.0,70.0,9510.0,320.0,444.0,182.0,0.0,239.0,722.0,93.0,1022.0,6.0,64.0,0.0,179.0,27.0,Pennsylvania,Pennsylvania,,,37398.0,28233.0,871749.0,0.04289996317747425,0.032386615872229275,,0.010513347305244974,9165.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,574404.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,5021.0,13008.0,2698.0,5202.0,26589.0,9375.0,14238.0,1492.0,,35967.0,2948.0,2791.0,1169.0,21536.0,15111.0,1839.0,9115.0,10565.0,25317.0,16444.0,5215.0,26596.0,6462.0,7193.0,8643.0,733.0,23135.0,535.0,1323.0,4515.0,31175.0,1462.0,3001.0,84523.0,27488.0,3310.0,1953.0,25631.0,17178.0,4132.0,9900.0,553.0,11455.0,28442.0,1946.0,23077.0,1649.0,6077.0,8740.0,3402.0,687.0,New York,Georgia,,,600556.0,523062.0,18367842.0,0.032696056510067975,0.028477052448513004,,0.004219004061554971,77494.0,FL,NY,GA,Foreign
10,Georgia,2335.0,19026.0,2138.0,4720.0,23100.0,3515.0,4321.0,1208.0,69367.0,,1519.0,1710.0,632.0,9692.0,6198.0,1797.0,5158.0,13671.0,5079.0,5664.0,706.0,7204.0,2153.0,3827.0,5032.0,565.0,16627.0,196.0,1125.0,850.0,8364.0,798.0,2067.0,26914.0,7932.0,2813.0,1795.0,8583.0,1758.0,622.0,16323.0,342.0,15911.0,17202.0,1660.0,12337.0,516.0,4145.0,3489.0,2058.0,272.0,Florida,Florida,,,355036.0,247893.0,9349988.0,0.03797181343976056,0.026512654347791677,,0.011459159091968884,107143.0,GA,FL,FL,Foreign
11,Hawaii,1495.0,1065.0,82.0,1901.0,14390.0,1820.0,389.0,0.0,2585.0,1687.0,,240.0,388.0,1397.0,244.0,488.0,806.0,482.0,693.0,825.0,232.0,903.0,714.0,208.0,421.0,284.0,1495.0,17.0,252.0,296.0,780.0,519.0,1405.0,2346.0,810.0,373.0,2029.0,947.0,133.0,343.0,716.0,117.0,747.0,4167.0,932.0,3608.0,72.0,3276.0,362.0,13.0,67.0,California,California,,,59561.0,64098.0,1315675.0,0.04527029851597089,0.04871871852851198,,-0.003448420012541087,-4537.0,HI,CA,CA,Foreign
12,Idaho,1377.0,158.0,97.0,3388.0,13559.0,2928.0,126.0,0.0,1745.0,356.0,1037.0,1086.0,,898.0,145.0,386.0,215.0,42.0,126.0,657.0,82.0,523.0,1001.0,895.0,218.0,2415.0,338.0,234.0,298.0,185.0,165.0,1175.0,3491.0,338.0,844.0,411.0,6914.0,569.0,23.0,348.0,128.0,324.0,481.0,3104.0,6666.0,566.0,0.0,11880.0,425.0,130.0,1212.0,California,Washington,,,73709.0,53983.0,1505105.0,0.0489726630367981,0.03586660066905631,,0.01310606236774179,19726.0,ID,CA,WA,Foreign
13,Illinois,1826.0,1936.0,3188.0,5864.0,16238.0,4918.0,1711.0,459.0,16163.0,6070.0,1485.0,9517.0,1126.0,,19543.0,2938.0,3763.0,2854.0,3262.0,2828.0,282.0,13283.0,5956.0,17141.0,3099.0,352.0,4357.0,445.0,1568.0,707.0,2682.0,659.0,2577.0,8040.0,6791.0,1671.0,1013.0,5513.0,1763.0,1328.0,2092.0,566.0,4959.0,13112.0,835.0,5657.0,320.0,3929.0,16724.0,952.0,60.0,Indiana,Indiana,,,234122.0,310586.0,12695866.0,0.018440805849715174,0.024463553726858805,,-0.0060227478771436305,-76464.0,IL,IN,IN,Foreign
14,Indiana,238.0,1149.0,757.0,2756.0,7517.0,1789.0,795.0,357.0,10022.0,2328.0,579.0,1394.0,188.0,33219.0,,1098.0,12714.0,1473.0,565.0,1752.0,257.0,12189.0,1228.0,4123.0,1122.0,127.0,2732.0,133.0,679.0,87.0,1369.0,874.0,871.0,2902.0,12889.0,474.0,554.0,3491.0,405.0,208.0,1289.0,267.0,3918.0,7801.0,1228.0,3386.0,85.0,1782.0,4015.0,768.0,229.0,Illinois,Illinois,,,152172.0,151504.0,6379599.0,0.023852909877250906,0.02374820110166799,,0.00010470877558291583,668.0,IN,IL,IL,Foreign
15,Iowa,272.0,511.0,726.0,2217.0,5528.0,1956.0,171.0,108.0,2732.0,1510.0,254.0,,162.0,14331.0,2355.0,2655.0,475.0,665.0,270.0,649.0,97.0,1976.0,6794.0,5392.0,760.0,272.0,1303.0,573.0,8095.0,473.0,81.0,268.0,1169.0,979.0,1475.0,682.0,1044.0,701.0,59.0,23.0,314.0,2471.0,722.0,4732.0,556.0,902.0,113.0,1109.0,4817.0,269.0,588.0,Illinois,Illinois,,,86356.0,76165.0,2999212.0,0.028792896267419574,0.025395003754319467,,0.003397892513100107,10191.0,IA,IL,IL,Foreign
16,Kansas,256.0,971.0,2320.0,2090.0,7017.0,4801.0,324.0,290.0,2799.0,1814.0,189.0,2339.0,67.0,2400.0,787.0,,1545.0,1267.0,441.0,473.0,71.0,913.0,1089.0,22307.0,591.0,313.0,1739.0,158.0,3243.0,116.0,547.0,1379.0,1099.0,1677.0,1630.0,7121.0,524.0,670.0,123.0,43.0,1017.0,444.0,1802.0,8118.0,662.0,1358.0,54.0,1004.0,469.0,206.0,763.0,Missouri,Missouri,,,93440.0,91382.0,2783785.0,0.03356581057804392,0.03282652934763281,,0.0007392812304111082,2058.0,KS,MO,MO,Foreign
17,Kentucky,345.0,1924.0,1179.0,1118.0,5245.0,1589.0,914.0,239.0,10997.0,5396.0,1195.0,951.0,148.0,4645.0,14317.0,537.0,,1438.0,493.0,1501.0,281.0,3908.0,874.0,3093.0,999.0,146.0,3637.0,108.0,382.0,144.0,1015.0,559.0,793.0,2183.0,17105.0,1254.0,178.0,1390.0,125.0,42.0,1539.0,35.0,12017.0,5788.0,174.0,3212.0,201.0,939.0,1406.0,3164.0,26.0,Ohio,Ohio,,,120888.0,101134.0,4256672.0,0.028399651182895932,0.023758936558889197,,0.004640714624006736,19754.0,KY,OH,OH,Foreign
18,Louisiana,838.0,3777.0,3684.0,452.0,6861.0,1220.0,590.0,181.0,7047.0,5853.0,507.0,554.0,192.0,1886.0,1083.0,1340.0,1247.0,,784.0,1932.0,137.0,1668.0,521.0,2188.0,10869.0,156.0,2219.0,109.0,197.0,34.0,373.0,282.0,878.0,1738.0,1500.0,1715.0,518.0,977.0,142.0,23.0,1444.0,158.0,2393.0,32516.0,385.0,2435.0,29.0,1002.0,773.0,121.0,194.0,Texas,Texas,,,107722.0,195278.0,4375581.0,0.02461890203838073,0.04462904469143641,,-0.020010142653055677,-87556.0,LA,TX,TX,Foreign
19,Maine,487.0,103.0,71.0,480.0,2630.0,726.0,2345.0,40.0,3538.0,761.0,221.0,7.0,74.0,209.0,405.0,47.0,126.0,255.0,6739.0,627.0,,621.0,171.0,54.0,65.0,93.0,655.0,10.0,178.0,4258.0,988.0,102.0,123.0,2686.0,1343.0,5.0,147.0,787.0,34.0,618.0,330.0,46.0,318.0,1088.0,134.0,1809.0,539.0,379.0,283.0,208.0,37.0,Massachusetts,Massachusetts,,,38000.0,36730.0,1327040.0,0.028635157945502775,0.027678140824692547,,0.0009570171208102274,1270.0,ME,MA,MA,Foreign
20,Maryland,216.0,1627.0,278.0,1931.0,8337.0,1522.0,2615.0,5430.0,9258.0,4164.0,1460.0,281.0,273.0,3308.0,1320.0,307.0,1150.0,2236.0,3622.0,,859.0,2626.0,1119.0,1559.0,1420.0,79.0,6251.0,134.0,409.0,771.0,7541.0,757.0,1041.0,12054.0,4054.0,512.0,571.0,13776.0,1241.0,605.0,2853.0,38.0,1481.0,7346.0,1086.0,23365.0,322.0,1495.0,944.0,3005.0,140.0,Virginia,Virginia,,,148789.0,181597.0,5653408.0,0.0263184613599443,0.032121686600365656,,-0.005803225240421355,-32808.0,MD,VA,VA,Foreign
21,Massachusetts,1335.0,308.0,261.0,1229.0,10481.0,1859.0,11762.0,178.0,9943.0,2020.0,821.0,336.0,103.0,3131.0,1408.0,280.0,438.0,936.0,,3926.0,5662.0,1691.0,1139.0,937.0,354.0,231.0,2732.0,236.0,188.0,10868.0,7181.0,590.0,604.0,19387.0,2344.0,241.0,707.0,5935.0,4108.0,9154.0,959.0,344.0,767.0,3522.0,535.0,2877.0,2094.0,1790.0,869.0,229.0,61.0,New York,Florida,,,139091.0,178997.0,6431559.0,0.021626327302602683,0.02783104376403917,,-0.006204716461436485,-39906.0,MA,NY,FL,Foreign
22,Michigan,1697.0,2153.0,1087.0,2722.0,8934.0,2966.0,1596.0,137.0,13539.0,4283.0,510.0,1311.0,444.0,11566.0,8257.0,1314.0,2125.0,1995.0,1907.0,1512.0,187.0,,2443.0,2842.0,1390.0,221.0,3387.0,358.0,563.0,299.0,1821.0,862.0,1900.0,4756.0,14027.0,1003.0,1089.0,3245.0,210.0,231.0,1657.0,186.0,3497.0,7087.0,752.0,3789.0,440.0,2079.0,3919.0,584.0,428.0,Ohio,Florida,,,135307.0,202376.0,10001284.0,0.013528962881166059,0.020235001825765573,,-0.006706038944599514,-67069.0,MI,OH,FL,Foreign
23,Minnesota,1218.0,323.0,591.0,3009.0,8403.0,3207.0,763.0,24.0,4293.0,2015.0,272.0,6319.0,327.0,9164.0,2161.0,1012.0,993.0,1114.0,1101.0,687.0,124.0,3127.0,,2858.0,1058.0,1035.0,1338.0,7111.0,1523.0,29.0,497.0,237.0,1075.0,2096.0,1686.0,984.0,834.0,1316.0,467.0,220.0,497.0,3837.0,1293.0,5073.0,578.0,1188.0,134.0,2122.0,17859.0,160.0,456.0,Wisconsin,Wisconsin,,,107808.0,117578.0,5207203.0,0.02070362918442012,0.022579876375090426,,-0.001876247190670307,-9770.0,MN,WI,WI,Foreign
