,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2009,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,982.0,,373.0,1183.0,4447.0,1191.0,130.0,212.0,15799.0,20889.0,786.0,458.0,1072.0,3177.0,3946.0,457.0,1765.0,4174.0,104.0,2709.0,710.0,3964.0,621.0,1069.0,7941.0,456.0,7152.0,39.0,0.0,99.0,664.0,404.0,567.0,2463.0,3265.0,1316.0,125.0,1015.0,583.0,448.0,2445.0,0.0,7948.0,8718.0,382.0,5821.0,0.0,991.0,1026.0,215.0,258.0,Georgia,Georgia,,,124559.0,106478.0,4757938.0,0.02617919779534748,0.022379022173050593,,0.003800175622296887,18081.0,AL,GA,GA,Foreign
1,Alaska,,1390.0,209.0,1285.0,3780.0,1460.0,313.0,86.0,2581.0,3114.0,374.0,246.0,743.0,271.0,643.0,49.0,155.0,1975.0,24.0,642.0,129.0,748.0,1753.0,782.0,91.0,1372.0,288.0,17.0,40.0,38.0,327.0,70.0,314.0,718.0,1292.0,407.0,1342.0,476.0,48.0,0.0,375.0,314.0,1229.0,2729.0,786.0,264.0,0.0,3620.0,1048.0,0.0,470.0,California,Texas,,,40427.0,71328.0,698895.0,0.0578441682942359,0.10205824909321143,,-0.04421408079897553,-30901.0,AK,CA,TX,Foreign
2,Arizona,2249.0,392.0,1818.0,,46921.0,7836.0,1418.0,131.0,4931.0,6076.0,3943.0,3219.0,2737.0,13111.0,4992.0,2461.0,830.0,1741.0,1764.0,1265.0,806.0,10923.0,6161.0,3606.0,388.0,1149.0,3996.0,1039.0,3224.0,1114.0,2094.0,8707.0,8666.0,4775.0,4829.0,1594.0,5407.0,4344.0,467.0,282.0,914.0,1191.0,215.0,12278.0,7997.0,4521.0,61.0,11148.0,3795.0,781.0,1260.0,California,California,,,225567.0,197181.0,6343154.0,0.03556070056000532,0.03108563973064504,,0.004475060829360281,28386.0,AZ,CA,CA,Foreign
3,Arkansas,968.0,443.0,,1365.0,4837.0,2497.0,153.0,0.0,3264.0,1090.0,396.0,292.0,499.0,3758.0,1032.0,2776.0,1684.0,4905.0,224.0,654.0,424.0,1905.0,1130.0,7652.0,3059.0,0.0,1245.0,0.0,198.0,165.0,315.0,574.0,2079.0,1803.0,1128.0,7538.0,798.0,236.0,304.0,0.0,796.0,155.0,7667.0,14036.0,499.0,191.0,0.0,520.0,459.0,29.0,115.0,Texas,Texas,,,85857.0,65723.0,2896843.0,0.029638126746944864,0.02268780185878213,,0.006950324888162735,20134.0,AR,TX,TX,Foreign
4,California,5332.0,2889.0,3539.0,34040.0,,16798.0,4906.0,453.0,18769.0,10819.0,13042.0,3576.0,7446.0,16415.0,6411.0,4782.0,1996.0,3171.0,10171.0,11905.0,1216.0,10741.0,7126.0,8651.0,2516.0,2102.0,10802.0,741.0,2400.0,1817.0,6142.0,7057.0,32333.0,26083.0,7657.0,2766.0,21270.0,8111.0,1479.0,1264.0,5219.0,917.0,7010.0,35104.0,13401.0,14464.0,1046.0,33408.0,6958.0,835.0,1114.0,Texas,Texas,,,458210.0,543609.0,36961229.0,0.012397044481394275,0.014707546656524868,,-0.002310502175130593,-85399.0,CA,TX,TX,Foreign
5,Colorado,1215.0,1774.0,2463.0,9378.0,21223.0,,1344.0,253.0,7085.0,4499.0,1818.0,2852.0,1446.0,5686.0,5621.0,3934.0,494.0,1204.0,2544.0,1949.0,639.0,5684.0,4494.0,4087.0,946.0,1283.0,4565.0,227.0,4118.0,577.0,1540.0,8038.0,5320.0,3996.0,2316.0,4206.0,2646.0,2613.0,213.0,449.0,1919.0,1010.0,1755.0,19214.0,5259.0,4172.0,324.0,4325.0,2982.0,468.0,5630.0,California,Texas,,,181797.0,154537.0,4972195.0,0.03656272531547938,0.031080237199063995,,0.005482488116415388,27260.0,CO,CA,TX,Foreign
6,Connecticut,504.0,1963.0,14.0,629.0,5041.0,1815.0,,409.0,6286.0,2216.0,369.0,0.0,0.0,1514.0,583.0,766.0,470.0,114.0,8136.0,2796.0,234.0,621.0,14.0,192.0,261.0,75.0,1426.0,0.0,0.0,2932.0,2415.0,120.0,153.0,19313.0,1458.0,125.0,161.0,2799.0,5205.0,2123.0,857.0,0.0,509.0,1312.0,425.0,2478.0,1032.0,1163.0,74.0,0.0,205.0,New York,New York,,,81307.0,94034.0,3561807.0,0.0228274580851798,0.02640064439201787,,-0.0035731863068380713,-12727.0,CT,NY,NY,Foreign
7,Delaware,143.0,365.0,0.0,494.0,575.0,178.0,809.0,,921.0,800.0,0.0,0.0,0.0,724.0,62.0,48.0,0.0,90.0,1812.0,4573.0,72.0,262.0,0.0,0.0,0.0,0.0,317.0,0.0,60.0,273.0,3851.0,54.0,0.0,3351.0,859.0,0.0,55.0,9068.0,206.0,43.0,444.0,59.0,234.0,429.0,496.0,3215.0,0.0,14.0,0.0,47.0,0.0,Pennsylvania,Pennsylvania,,,35003.0,28564.0,891730.0,0.039252912877216196,0.032032117344936245,,0.007220795532279951,6439.0,DE,PA,PA,Foreign
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,592228.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,5863.0,9179.0,2211.0,6104.0,22213.0,10293.0,10045.0,2957.0,,33835.0,1466.0,2009.0,577.0,18482.0,14608.0,3021.0,6699.0,4864.0,12919.0,6800.0,4735.0,19440.0,5025.0,6812.0,4695.0,828.0,25128.0,574.0,1250.0,5891.0,15674.0,1676.0,3381.0,53482.0,21346.0,2441.0,2869.0,21680.0,14783.0,3471.0,9760.0,913.0,11927.0,19680.0,2510.0,19597.0,1322.0,8343.0,6214.0,4312.0,423.0,New York,Georgia,,,474327.0,448993.0,18652644.0,0.025429477987142197,0.024071279117319776,,0.0013581988698224204,25334.0,FL,NY,GA,Foreign
10,Georgia,2137.0,18302.0,1720.0,1747.0,16980.0,3921.0,3345.0,666.0,43170.0,,958.0,1179.0,504.0,9567.0,7054.0,1472.0,7156.0,3742.0,4527.0,8479.0,273.0,9173.0,2024.0,2879.0,4905.0,649.0,14348.0,357.0,494.0,168.0,5015.0,388.0,1952.0,12563.0,11264.0,2360.0,3291.0,5786.0,2231.0,246.0,13214.0,202.0,13459.0,16366.0,485.0,12788.0,261.0,3134.0,962.0,710.0,997.0,Florida,Florida,,,279570.0,251639.0,9620846.0,0.029058775080694568,0.026155600037668206,,0.002903175043026361,27931.0,GA,FL,FL,Foreign
11,Hawaii,1245.0,1163.0,281.0,1153.0,11820.0,936.0,299.0,139.0,2843.0,1163.0,,256.0,496.0,1271.0,102.0,78.0,612.0,121.0,1052.0,239.0,322.0,2468.0,633.0,140.0,68.0,758.0,1912.0,0.0,55.0,222.0,763.0,634.0,1663.0,2038.0,244.0,737.0,1392.0,137.0,0.0,202.0,211.0,280.0,231.0,3161.0,917.0,3270.0,387.0,4758.0,65.0,71.0,48.0,California,California,,,53056.0,64272.0,1346717.0,0.03939654730726649,0.047724948894236875,,-0.008328401586970388,-11216.0,HI,CA,CA,Foreign
12,Idaho,710.0,74.0,586.0,4727.0,10088.0,1334.0,474.0,0.0,2139.0,331.0,320.0,342.0,,357.0,112.0,587.0,74.0,204.0,179.0,314.0,358.0,332.0,390.0,281.0,27.0,1713.0,920.0,227.0,177.0,0.0,422.0,521.0,2838.0,268.0,583.0,435.0,3208.0,171.0,80.0,65.0,12.0,263.0,104.0,1744.0,4599.0,1114.0,0.0,11906.0,796.0,0.0,1284.0,Washington,Washington,,,57790.0,58805.0,1554439.0,0.03717739969210757,0.03783036838370628,,-0.0006529686915987057,-1015.0,ID,WA,WA,Foreign
13,Illinois,572.0,1959.0,2061.0,5238.0,12828.0,4698.0,943.0,749.0,17472.0,6397.0,2151.0,11109.0,720.0,,19672.0,2322.0,3818.0,1761.0,3518.0,1690.0,418.0,11703.0,4761.0,10379.0,909.0,100.0,4430.0,562.0,174.0,299.0,2293.0,1008.0,2485.0,9262.0,6915.0,1804.0,455.0,4363.0,530.0,717.0,2150.0,303.0,4949.0,11722.0,681.0,5454.0,370.0,2659.0,12412.0,724.0,241.0,Indiana,Indiana,,,204910.0,276792.0,12796778.0,0.016012624427805187,0.021629819631160282,,-0.005617195203355095,-71882.0,IL,IN,IN,Foreign
14,Indiana,201.0,2729.0,873.0,3790.0,5806.0,2900.0,400.0,87.0,7823.0,2744.0,458.0,975.0,1187.0,28173.0,,711.0,8527.0,993.0,457.0,770.0,207.0,12383.0,868.0,2379.0,298.0,26.0,1184.0,0.0,600.0,1559.0,808.0,357.0,282.0,3470.0,13772.0,629.0,71.0,2389.0,196.0,139.0,1378.0,303.0,2960.0,6906.0,1500.0,2043.0,679.0,1010.0,2906.0,1100.0,570.0,Illinois,Illinois,,,132576.0,143979.0,6459325.0,0.0205247452326675,0.022290099971746274,,-0.001765354739078774,-11403.0,IN,IL,IL,Foreign
15,Iowa,440.0,261.0,590.0,2142.0,3510.0,2691.0,1059.0,85.0,1403.0,1629.0,502.0,,314.0,11981.0,2242.0,2310.0,1120.0,1155.0,193.0,193.0,311.0,1203.0,5480.0,2588.0,638.0,312.0,761.0,1508.0,7380.0,0.0,255.0,141.0,1311.0,952.0,835.0,1273.0,161.0,642.0,385.0,0.0,451.0,3562.0,320.0,2932.0,502.0,534.0,17.0,1836.0,3573.0,0.0,713.0,Illinois,Illinois,,,74396.0,69837.0,3032870.0,0.024529900721099156,0.0230267040789747,,0.001503196642124456,4559.0,IA,IL,IL,Foreign
16,Kansas,947.0,1323.0,1292.0,2689.0,6776.0,4231.0,0.0,0.0,3805.0,2970.0,624.0,2181.0,387.0,2637.0,2660.0,,773.0,1614.0,703.0,797.0,4.0,2736.0,1774.0,24307.0,641.0,233.0,1476.0,423.0,2902.0,175.0,1702.0,1145.0,1983.0,900.0,2021.0,6975.0,494.0,168.0,90.0,663.0,426.0,865.0,2799.0,8527.0,394.0,1162.0,0.0,568.0,237.0,0.0,422.0,Missouri,Missouri,,,102621.0,88848.0,2832704.0,0.0362272231761596,0.0313650843858024,,0.004862138790357198,13773.0,KS,MO,MO,Foreign
17,Kentucky,1567.0,1904.0,680.0,2014.0,2985.0,1121.0,191.0,137.0,7638.0,4830.0,144.0,814.0,129.0,4558.0,10764.0,1665.0,,739.0,1311.0,1273.0,147.0,4759.0,777.0,2578.0,1085.0,239.0,4162.0,0.0,163.0,828.0,287.0,273.0,260.0,4580.0,13469.0,3014.0,393.0,3386.0,923.0,0.0,3527.0,0.0,14336.0,6849.0,701.0,4303.0,110.0,984.0,876.0,4534.0,0.0,Tennessee,Ohio,,,122007.0,94300.0,4317074.0,0.028261503045812975,0.021843498628932468,,0.006418004416880507,27707.0,KY,TN,OH,Foreign
