,State,Alaska,Alabama,Arkansas,Arizona,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Iowa,Idaho,Illinois,Indiana,Kansas,Kentucky,Louisiana,Massachusetts,Maryland,Maine,Michigan,Minnesota,Missouri,Mississippi,Montana,North Carolina,North Dakota,Nebraska,New Hampshire,New Jersey,New Mexico,Nevada,New York,Ohio,Oklahoma,Oregon,Pennsylvania,Puerto Rico,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Virginia,Vermont,Washington,Wisconsin,West Virginia,Wyoming,Foreign Country,U.S. Island Area,inflow_max,outflow_max,inflow_max_noforeign,total_inflow_noforeign,total_inflow,total_outflow,2010,per_capita_inflow,per_capita_outflow,per_capita_inflow_noforeign,net_per_capita_flow,net_flow,State_abbr,inflow_max_abbr,outflow_max_abbr,inflow_max_noforeign_abbr
0,Alabama,3013.0,,1481.0,676.0,3827.0,1278.0,454.0,811.0,15062.0,21644.0,267.0,669.0,304.0,2503.0,3945.0,649.0,1967.0,1901.0,435.0,716.0,97.0,2334.0,386.0,1373.0,7233.0,229.0,2371.0,169.0,169.0,0.0,356.0,650.0,265.0,3686.0,2222.0,880.0,485.0,1477.0,228.0,0.0,2368.0,31.0,7409.0,6500.0,1336.0,2490.0,0.0,1171.0,1155.0,41.0,27.0,12757.0,181.0,Georgia,Florida,Georgia,108921.0,121678.0,99490.0,4785437.0,0.025426726963493615,0.02079015981194612,0.022760930715418466,0.0019707709034723457,9431.0,AL,GA,FL,GA
1,Alaska,,477.0,47.0,1354.0,3906.0,1930.0,0.0,0.0,2315.0,1251.0,1705.0,262.0,895.0,388.0,9.0,106.0,1440.0,100.0,107.0,704.0,574.0,923.0,530.0,0.0,263.0,616.0,698.0,69.0,215.0,316.0,413.0,421.0,240.0,255.0,156.0,1455.0,1793.0,126.0,19.0,0.0,121.0,531.0,477.0,4123.0,1274.0,714.0,353.0,2421.0,158.0,0.0,81.0,4346.0,1374.0,Foreign Country,Texas,Texas,37705.0,42051.0,94257.0,713910.0,0.058902382653275624,0.13202924738412405,0.05281478057458223,-0.07921446680954183,-56552.0,AK,Foreign,TX,TX
2,Arizona,3109.0,416.0,689.0,,47164.0,7687.0,479.0,738.0,7712.0,4261.0,1966.0,3008.0,2147.0,12250.0,2690.0,1935.0,1705.0,2014.0,1449.0,1284.0,241.0,6354.0,5421.0,4567.0,272.0,1343.0,4463.0,826.0,1750.0,64.0,1782.0,4419.0,10342.0,6618.0,5225.0,2910.0,5430.0,5535.0,599.0,403.0,2310.0,1351.0,3061.0,14705.0,7164.0,3413.0,664.0,12645.0,5556.0,595.0,593.0,38246.0,223.0,California,California,California,223547.0,261793.0,176394.0,6407172.0,0.04085936822048791,0.027530710897100935,0.03489012000926462,0.007359409112163685,47153.0,AZ,CA,CA,CA
3,Arkansas,934.0,1405.0,,777.0,4457.0,2535.0,451.0,0.0,3578.0,3921.0,129.0,85.0,618.0,3221.0,722.0,3611.0,2540.0,4012.0,190.0,306.0,0.0,1506.0,222.0,7320.0,2764.0,85.0,1561.0,0.0,394.0,0.0,77.0,0.0,67.0,289.0,1137.0,8607.0,239.0,731.0,87.0,0.0,1496.0,243.0,2653.0,13707.0,361.0,494.0,0.0,264.0,821.0,0.0,443.0,8287.0,0.0,Texas,Texas,Texas,79060.0,87347.0,64109.0,2921964.0,0.0298932498826132,0.02194037982671929,0.027057143756733484,0.005116763930014194,14951.0,AR,TX,TX,TX
4,California,9579.0,3364.0,4172.0,33854.0,,15662.0,4631.0,643.0,20362.0,8820.0,9528.0,3163.0,5719.0,16482.0,6550.0,3857.0,3394.0,2989.0,11969.0,10626.0,1796.0,10435.0,5095.0,6921.0,2757.0,3009.0,9593.0,392.0,3062.0,1614.0,10108.0,4632.0,27724.0,20981.0,8170.0,5708.0,20913.0,9948.0,1223.0,526.0,5016.0,1604.0,4349.0,36582.0,10653.0,14232.0,525.0,30544.0,6031.0,1446.0,1336.0,253294.0,5123.0,Foreign Country,Texas,Texas,447412.0,700706.0,570960.0,37319502.0,0.018775866837665734,0.015299239523614222,0.011988691596152595,-0.003310547927461627,-123548.0,CA,Foreign,TX,TX
5,Colorado,2225.0,954.0,1034.0,12287.0,26089.0,,459.0,486.0,8849.0,6445.0,2355.0,2140.0,839.0,6950.0,3296.0,4308.0,1961.0,968.0,2242.0,1532.0,532.0,4587.0,2878.0,1978.0,1277.0,2042.0,2940.0,802.0,4065.0,791.0,1259.0,3921.0,4131.0,4594.0,2838.0,3464.0,4330.0,3928.0,874.0,192.0,1231.0,1847.0,1628.0,22253.0,4748.0,2739.0,350.0,7583.0,2499.0,623.0,4418.0,33373.0,125.0,Foreign Country,Texas,California,186886.0,220259.0,140352.0,5047349.0,0.04363855164364501,0.027807072584043625,0.03702656582693212,0.009219493242888493,46534.0,CO,Foreign,TX,CA
6,Connecticut,0.0,896.0,334.0,664.0,4479.0,547.0,,149.0,9207.0,748.0,182.0,108.0,147.0,3391.0,1074.0,0.0,400.0,0.0,8510.0,1531.0,528.0,770.0,934.0,42.0,67.0,0.0,1345.0,0.0,0.0,1049.0,3475.0,112.0,507.0,20727.0,1296.0,145.0,640.0,1955.0,2027.0,1728.0,1140.0,0.0,430.0,1887.0,0.0,1735.0,458.0,2084.0,1092.0,442.0,47.0,18140.0,0.0,New York,New York,New York,79029.0,97169.0,89333.0,3579114.0,0.027148897743966803,0.024959529090160304,0.022080604305981872,-0.002878924784178432,-10304.0,CT,NY,NY,NY
7,Delaware,68.0,128.0,0.0,60.0,353.0,178.0,714.0,,2362.0,585.0,0.0,0.0,0.0,612.0,0.0,28.0,163.0,0.0,689.0,4969.0,294.0,61.0,55.0,539.0,0.0,73.0,424.0,0.0,0.0,139.0,3678.0,59.0,106.0,4251.0,325.0,0.0,0.0,7318.0,954.0,149.0,195.0,0.0,146.0,178.0,0.0,1051.0,0.0,377.0,0.0,0.0,0.0,3027.0,431.0,Pennsylvania,Maryland,Pennsylvania,31712.0,34739.0,30055.0,899593.0,0.03861635206143223,0.03340955298673956,0.03525149706589536,0.0018419440791557981,1657.0,DE,PA,MD,PA
8,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,605226.0,,,,,,DC,Foreign,Foreign,Foreign
9,Florida,5887.0,15830.0,3611.0,3907.0,22130.0,6428.0,11183.0,3099.0,,35615.0,2021.0,2921.0,884.0,17432.0,9030.0,4136.0,6321.0,7232.0,13900.0,13241.0,5497.0,21359.0,5439.0,7984.0,7929.0,338.0,19108.0,794.0,1544.0,3645.0,22344.0,900.0,7050.0,55011.0,21047.0,3466.0,1655.0,19935.0,12968.0,1982.0,10759.0,430.0,12882.0,24039.0,2833.0,20080.0,1442.0,3573.0,8081.0,5634.0,191.0,137074.0,1131.0,Foreign Country,Georgia,New York,495878.0,632952.0,438015.0,18845537.0,0.03358630746367164,0.023242372981995683,0.026312755110135626,0.003070382128139943,57863.0,FL,Foreign,GA,NY
