,FIPS,event_count,total_property_damage,total_injuries,total_deaths,damage_per_event,injuries_per_event,deaths_per_event
0,01001,449,20352100,78,12,45327.61692650334,0.17371937639198218,0.026726057906458798
1,01002,200,3737350,17,4,18686.75,0.085,0.02
2,01003,566,34403600,41,32,60783.74558303887,0.07243816254416961,0.05653710247349823
3,01004,158,171400,0,4,1084.8101265822784,0.0,0.02531645569620253
4,01005,280,1203000,12,2,4296.428571428572,0.04285714285714286,0.007142857142857143
5,01006,280,2232500,92,0,7973.214285714285,0.32857142857142857,0.0
6,01007,298,16588250,21,8,55665.26845637584,0.07046979865771812,0.026845637583892617
7,01008,150,1802500,1,8,12016.666666666666,0.006666666666666667,0.05333333333333334
8,01009,512,32785000,56,2,64033.203125,0.109375,0.00390625
9,01010,170,3038000,0,0,17870.58823529412,0.0,0.0
10,01011,148,4811000,8,0,32506.756756756757,0.05405405405405406,0.0
11,01012,64,2549000,5,0,39828.125,0.078125,0.0
12,01013,186,3138000,17,4,16870.967741935485,0.0913978494623656,0.021505376344086023
13,01014,62,1312000,3,0,21161.290322580644,0.04838709677419355,0.0
14,01015,359,131387500,84,34,365981.8941504178,0.233983286908078,0.0947075208913649
15,01016,134,1703100,2,0,12709.701492537313,0.014925373134328358,0.0
16,01017,213,2860500,3,0,13429.577464788732,0.014084507042253521,0.0
17,01018,80,509500,26,0,6368.75,0.325,0.0
18,01019,354,22240000,53,6,62824.858757062146,0.1497175141242938,0.01694915254237288
19,01020,82,835000,2,0,10182.926829268292,0.024390243902439025,0.0
20,01021,277,2340000,6,0,8447.653429602888,0.021660649819494584,0.0
21,01022,58,1278000,17,0,22034.48275862069,0.29310344827586204,0.0
22,01023,280,26864500,57,6,95944.64285714286,0.20357142857142857,0.02142857142857143
23,01024,136,16966000,32,10,124750.0,0.23529411764705882,0.07352941176470588
24,01025,418,9765000,22,0,23361.244019138758,0.05263157894736842,0.0
25,01026,66,303000,2,0,4590.909090909091,0.030303030303030304,0.0
26,01027,235,4374500,5,4,18614.893617021276,0.02127659574468085,0.01702127659574468
27,01028,87,474000,1,0,5448.275862068966,0.011494252873563218,0.0
28,01029,208,3633100,1,0,17466.826923076922,0.004807692307692308,0.0
29,01030,57,8022000,3,0,140736.84210526315,0.05263157894736842,0.0
30,01031,416,265973250,58,28,639358.7740384615,0.13942307692307693,0.0673076923076923
31,01032,61,4210000,20,0,69016.39344262295,0.32786885245901637,0.0
32,01033,816,11231650,9,4,13764.276960784313,0.011029411764705883,0.004901960784313725
33,01034,59,636000,4,0,10779.661016949152,0.06779661016949153,0.0
34,01035,172,5119000,1,4,29761.627906976744,0.005813953488372093,0.023255813953488372
35,01036,79,164000,0,0,2075.9493670886077,0.0,0.0
36,01037,197,1550100,29,0,7868.527918781726,0.14720812182741116,0.0
37,01038,95,3030000,2,2,31894.736842105263,0.021052631578947368,0.021052631578947368
38,01039,282,22044000,6,12,78170.21276595745,0.02127659574468085,0.0425531914893617
39,01040,57,10957000,13,0,192228.0701754386,0.22807017543859648,0.0
40,01041,217,5869000,17,4,27046.082949308755,0.07834101382488479,0.018433179723502304
41,01042,63,3889000,0,2,61730.15873015873,0.0,0.031746031746031744
42,01043,747,30828800,54,10,41270.14725568942,0.07228915662650602,0.013386880856760375
43,01044,150,9397000,52,2,62646.666666666664,0.3466666666666667,0.013333333333333334
44,01045,461,11931750,35,0,25882.32104121475,0.07592190889370933,0.0
45,01046,70,2473000,0,0,35328.57142857143,0.0,0.0
46,01047,264,4743000,63,0,17965.909090909092,0.23863636363636365,0.0
47,01048,77,556000,0,2,7220.779220779221,0.0,0.025974025974025976
48,01049,710,17078900,76,70,24054.788732394365,0.10704225352112676,0.09859154929577464
49,01050,71,603000,6,0,8492.957746478873,0.08450704225352113,0.0
50,01051,353,58801900,29,14,166577.62039660057,0.0821529745042493,0.039660056657223795
51,01052,24,45000,0,0,1875.0,0.0,0.0
52,01053,233,8829000,23,4,37892.70386266094,0.09871244635193133,0.017167381974248927
53,01054,21,0,0,0,0.0,0.0,0.0
54,01055,358,22999500,37,0,64244.41340782123,0.10335195530726257,0.0
55,01056,19,15500,1,0,815.7894736842105,0.05263157894736842,0.0
56,01057,197,14683000,11,10,74532.99492385787,0.05583756345177665,0.050761421319796954
57,01058,14,71000,0,0,5071.428571428572,0.0,0.0
58,01059,326,51771200,3,54,158807.3619631902,0.009202453987730062,0.1656441717791411
59,01060,18,150000,0,0,8333.333333333334,0.0,0.0
60,01061,282,8986500,12,2,31867.021276595744,0.0425531914893617,0.0070921985815602835
61,01062,30,1501000,0,4,50033.333333333336,0.0,0.13333333333333333
62,01063,164,3638707300,16,16,22187239.63414634,0.0975609756097561,0.0975609756097561
63,01064,61,11600000,13,48,190163.9344262295,0.21311475409836064,0.7868852459016393
64,01065,210,24212500,48,12,115297.61904761905,0.22857142857142856,0.05714285714285714
65,01066,57,1645000,1,4,28859.64912280702,0.017543859649122806,0.07017543859649122
66,01067,252,23636840,33,4,93796.98412698413,0.13095238095238096,0.015873015873015872
67,01068,45,2061860,0,0,45819.11111111111,0.0,0.0
68,01069,476,14262260,15,12,29962.731092436974,0.031512605042016806,0.025210084033613446
69,01071,484,3646600,26,26,7534.297520661157,0.05371900826446281,0.05371900826446281
70,01073,834,1747169100,875,54,2094926.9784172662,1.0491606714628297,0.06474820143884892
71,01075,347,3359000,11,6,9680.115273775216,0.03170028818443804,0.01729106628242075
72,01077,1174,6336200,18,8,5397.103918228279,0.015332197614991482,0.0068143100511073255
73,01079,376,44382100,28,42,118037.5,0.07446808510638298,0.11170212765957446
74,01081,243,7180500,113,48,29549.382716049382,0.46502057613168724,0.19753086419753085
75,01083,553,1007197100,111,12,1821332.9113924052,0.2007233273056058,0.0216998191681736
76,01085,113,951000,19,0,8415.929203539823,0.168141592920354,0.0
77,01087,100,1426500,2,0,14265.0,0.02,0.0
78,01089,1253,13270400,31,32,10590.901835594574,0.024740622505985636,0.025538707102952914
79,01091,151,26842500,18,4,177764.90066225166,0.11920529801324503,0.026490066225165563
80,01093,314,178917750,208,56,569801.7515923567,0.6624203821656051,0.17834394904458598
81,01095,610,18854500,111,18,30909.016393442624,0.1819672131147541,0.029508196721311476
82,01097,591,20545000,38,4,34763.11336717428,0.06429780033840947,0.00676818950930626
83,01099,157,3815000,1,2,24299.36305732484,0.006369426751592357,0.012738853503184714
84,01101,224,7724500,17,4,34484.375,0.07589285714285714,0.017857142857142856
85,01103,614,9742500,6,2,15867.263843648208,0.009771986970684038,0.003257328990228013
86,01105,112,3073000,0,0,27437.5,0.0,0.0
87,01107,186,11367000,25,10,61112.903225806454,0.13440860215053763,0.053763440860215055
88,01109,115,1144750,10,0,9954.347826086956,0.08695652173913043,0.0
89,01111,204,3265000,2,0,16004.901960784313,0.00980392156862745,0.0
90,01113,164,1468250,7,0,8952.743902439024,0.042682926829268296,0.0
91,01115,293,205355500,41,32,700872.0136518772,0.13993174061433447,0.10921501706484642
92,01117,473,9365750,9,0,19800.7399577167,0.019027484143763214,0.0
93,01119,201,14957999,4,4,74417.90547263682,0.01990049751243781,0.01990049751243781
94,01121,330,4974000,18,0,15072.727272727272,0.05454545454545454,0.0
95,01123,245,117040800,23,4,477717.55102040817,0.09387755102040816,0.0163265306122449
96,01125,532,1544038000,974,120,2902327.067669173,1.830827067669173,0.22556390977443608
97,01127,402,140953500,137,40,350630.5970149254,0.3407960199004975,0.09950248756218906
98,01129,169,11395000,11,6,67426.03550295858,0.0650887573964497,0.03550295857988166
99,01131,66,2538000,2,2,38454.545454545456,0.030303030303030304,0.030303030303030304
100,01133,269,14912000,64,2,55434.944237918215,0.2379182156133829,0.007434944237918215
101,01261,5,100000,0,0,20000.0,0.0,0.0
102,01262,5,25000,0,0,5000.0,0.0,0.0
103,01263,14,1250000,0,0,89285.71428571429,0.0,0.0
104,01264,13,823000,0,0,63307.692307692305,0.0,0.0
105,01265,24,86710000,0,4,3612916.6666666665,0.0,0.16666666666666666
106,01266,30,242940000,7,28,8098000.0,0.23333333333333334,0.9333333333333333
107,02001,37,7800000,0,0,210810.8108108108,0.0,0.0
108,02002,4,0,0,0,0.0,0.0,0.0
109,02003,32,0,0,0,0.0,0.0,0.0
110,02004,10,0,0,0,0.0,0.0,0.0
111,02005,8,250000,9,0,31250.0,1.125,0.0
112,02006,16,0,0,0,0.0,0.0,0.0
113,02007,29,360000,0,0,12413.793103448275,0.0,0.0
114,02008,6,0,0,0,0.0,0.0,0.0
115,02009,41,0,0,0,0.0,0.0,0.0
116,02010,7,0,0,0,0.0,0.0,0.0
117,02011,18,515000,0,6,28611.11111111111,0.0,0.3333333333333333
118,02012,2,0,0,0,0.0,0.0,0.0
119,02013,35,36000,1,4,1028.5714285714287,0.02857142857142857,0.11428571428571428
120,02014,8,17000,0,2,2125.0,0.0,0.25
121,02015,31,111000,3,6,3580.6451612903224,0.0967741935483871,0.1935483870967742
122,02016,13,69500,0,0,5346.153846153846,0.0,0.0
123,02017,160,1773000,1,2,11081.25,0.00625,0.0125
124,02018,182,1808000,0,0,9934.065934065935,0.0,0.0
125,02019,229,22677000,4,4,99026.20087336244,0.017467248908296942,0.017467248908296942
126,02020,129,394000,0,0,3054.263565891473,0.0,0.0
127,02021,99,884750,0,0,8936.868686868687,0.0,0.0
128,02022,135,356000,0,0,2637.037037037037,0.0,0.0
129,02023,134,5143000,0,12,38380.59701492537,0.0,0.08955223880597014
130,02024,65,472500,0,0,7269.2307692307695,0.0,0.0
131,02025,252,11412240,2,0,45286.666666666664,0.007936507936507936,0.0
132,02026,94,285000,3,0,3031.9148936170213,0.031914893617021274,0.0
133,02027,195,5168000,0,0,26502.5641025641,0.0,0.0
134,02028,184,1269000,0,0,6896.739130434783,0.0,0.0
135,02029,94,43000,0,0,457.4468085106383,0.0,0.0
136,02101,224,14420000,21,8,64375.0,0.09375,0.03571428571428571
137,02111,68,10200500,7,16,150007.35294117648,0.10294117647058823,0.23529411764705882
138,02121,71,27888500,4,4,392795.77464788733,0.056338028169014086,0.056338028169014086
139,02125,211,16130600,2,4,76448.34123222748,0.009478672985781991,0.018957345971563982
140,02131,178,26937500,0,2,151334.26966292135,0.0,0.011235955056179775
141,02135,107,190500,1,2,1780.3738317757009,0.009345794392523364,0.018691588785046728
142,02141,33,20526000,2,10,622000.0,0.06060606060606061,0.30303030303030304
143,02145,96,45062500,4,8,469401.0416666667,0.041666666666666664,0.08333333333333333
144,02151,17,4347700,0,8,255747.0588235294,0.0,0.47058823529411764
145,02152,8,1560000,0,0,195000.0,0.0,0.0
146,02155,176,5605000,0,2,31846.590909090908,0.0,0.011363636363636364
147,02161,102,2284000,0,0,22392.156862745098,0.0,0.0
148,02171,78,5199100,1,2,66655.1282051282,0.01282051282051282,0.02564102564102564
149,02181,169,409600,1,0,2423.6686390532545,0.005917159763313609,0.0
150,02185,128,2786000,0,2,21765.625,0.0,0.015625
151,02187,54,10000,0,0,185.1851851851852,0.0,0.0
152,02191,123,500,0,0,4.065040650406504,0.0,0.0
153,02195,143,10275500,0,0,71856.64335664336,0.0,0.0
154,02201,158,7000000,0,0,44303.79746835443,0.0,0.0
155,02202,54,50000,0,0,925.925925925926,0.0,0.0
156,02203,135,15504500,0,0,114848.14814814815,0.0,0.0
157,02204,111,8600000,2,4,77477.47747747747,0.018018018018018018,0.036036036036036036
158,02205,18,0,0,0,0.0,0.0,0.0
159,02206,54,0,0,0,0.0,0.0,0.0
160,02207,148,977000,0,0,6601.351351351352,0.0,0.0
161,02208,48,0,1,0,0.0,0.020833333333333332,0.0
162,02209,91,15000,1,4,164.83516483516485,0.01098901098901099,0.04395604395604396
163,02210,65,259000,0,0,3984.6153846153848,0.0,0.0
164,02211,105,41344060,2,0,393752.95238095237,0.01904761904761905,0.0
165,02212,75,4882600,1,0,65101.333333333336,0.013333333333333334,0.0
166,02213,261,605000,1,6,2318.007662835249,0.0038314176245210726,0.022988505747126436
167,02214,143,2352700,0,0,16452.447552447553,0.0,0.0
168,02215,34,62000,0,0,1823.5294117647059,0.0,0.0
169,02216,62,15942100,0,2,257130.64516129033,0.0,0.03225806451612903
170,02217,48,25200,0,0,525.0,0.0,0.0
171,02218,34,0,0,0,0.0,0.0,0.0
172,02219,41,665640,0,0,16235.121951219513,0.0,0.0
173,02220,46,13474300,0,0,292919.5652173913,0.0,0.0
174,02221,51,10216350,0,0,200320.58823529413,0.0,0.0
175,02222,103,6388300,6,4,62022.330097087375,0.05825242718446602,0.038834951456310676
176,02223,95,4179000,0,0,43989.47368421053,0.0,0.0
177,02224,68,14119000,0,0,207632.35294117648,0.0,0.0
178,02225,109,125000,2,2,1146.788990825688,0.01834862385321101,0.01834862385321101
179,02226,107,2000,0,4,18.69158878504673,0.0,0.037383177570093455
180,02227,10,1560000,0,0,156000.0,0.0,0.0
181,04001,226,324500,2,8,1435.8407079646017,0.008849557522123894,0.035398230088495575
182,04002,36,532000,0,2,14777.777777777777,0.0,0.05555555555555555
183,04003,492,9233500,38,16,18767.27642276423,0.07723577235772358,0.032520325203252036
184,04004,64,0,0,0,0.0,0.0,0.0
185,04005,539,19121000,68,30,35474.95361781076,0.1261595547309833,0.055658627087198514
186,04006,61,0,2,0,0.0,0.03278688524590164,0.0
187,04007,400,50786500,5,34,126966.25,0.0125,0.085
188,04008,77,494000,9,40,6415.584415584415,0.11688311688311688,0.5194805194805194
189,04009,157,3441500,1,2,21920.382165605097,0.006369426751592357,0.012738853503184714
190,04010,46,0,0,0,0.0,0.0,0.0
191,04011,100,482500,2,0,4825.0,0.02,0.0
192,04012,258,13911000,5,4,53918.604651162794,0.01937984496124031,0.015503875968992248
193,04013,1601,3159643150,51,34,1973543.5040599625,0.03185509056839475,0.021236727045596503
194,04014,102,0,0,0,0.0,0.0,0.0
195,04015,941,43664200,258,24,46401.912858661,0.27417640807651433,0.025504782146652496
196,04016,130,50066000,0,4,385123.07692307694,0.0,0.03076923076923077
197,04017,367,58192000,4,8,158561.30790190736,0.010899182561307902,0.021798365122615803
198,04018,70,4187000,5,2,59814.28571428572,0.07142857142857142,0.02857142857142857
199,04019,1135,170943050,65,38,150610.6167400881,0.05726872246696035,0.033480176211453744
200,04020,5,2020000,0,0,404000.0,0.0,0.0
201,04021,447,33203350,15,14,74280.42505592841,0.03355704697986577,0.03131991051454139
202,04022,6,10000000,0,0,1666666.6666666667,0.0,0.0
203,04023,286,117814800,32,96,411939.86013986013,0.11188811188811189,0.3356643356643357
204,04024,27,49000,9,2,1814.8148148148148,0.3333333333333333,0.07407407407407407
205,04025,658,16923000,6,12,25718.844984802432,0.00911854103343465,0.0182370820668693
206,04026,18,2020000,0,0,112222.22222222222,0.0,0.0
207,04027,153,18024500,1,8,117807.18954248365,0.006535947712418301,0.05228758169934641
208,04028,102,26343000,39,10,258264.70588235295,0.38235294117647056,0.09803921568627451
209,04029,40,250000,2,0,6250.0,0.05,0.0
210,04030,40,1464000,0,0,36600.0,0.0,0.0
211,04031,1,0,0,0,0.0,0.0,0.0
212,04032,19,170000,0,28,8947.368421052632,0.0,1.4736842105263157
213,04033,58,488500,21,8,8422.413793103447,0.3620689655172414,0.13793103448275862
214,04034,26,665000,14,4,25576.923076923078,0.5384615384615384,0.15384615384615385
215,04035,51,1778500,36,12,34872.549019607846,0.7058823529411765,0.23529411764705882
216,04036,68,379000,13,16,5573.529411764706,0.19117647058823528,0.23529411764705882
217,04037,58,182000,3,6,3137.9310344827586,0.05172413793103448,0.10344827586206896
218,04038,35,7000000,1,0,200000.0,0.02857142857142857,0.0
219,04039,36,9000000,0,0,250000.0,0.0,0.0
220,04040,41,0,0,0,0.0,0.0,0.0
221,04501,41,0,12,24,0.0,0.2926829268292683,0.5853658536585366
222,04502,90,10000,12,122,111.11111111111111,0.13333333333333333,1.3555555555555556
223,04503,66,575000,2,34,8712.121212121212,0.030303030303030304,0.5151515151515151
224,04504,106,1718000,85,38,16207.547169811322,0.8018867924528302,0.3584905660377358
225,04505,78,1360000,79,0,17435.897435897437,1.0128205128205128,0.0
226,04506,86,2877000,1,2,33453.48837209302,0.011627906976744186,0.023255813953488372
227,04507,88,13038500,1,16,148164.77272727274,0.011363636363636364,0.18181818181818182
228,04508,92,1591000,5,18,17293.478260869564,0.05434782608695652,0.1956521739130435
229,04509,102,390000,0,0,3823.529411764706,0.0,0.0
230,04510,72,50000,0,0,694.4444444444445,0.0,0.0
231,04511,69,50000,0,0,724.6376811594203,0.0,0.0
232,04512,56,1000000,13,0,17857.14285714286,0.23214285714285715,0.0
233,04513,59,15005000,1,2,254322.0338983051,0.01694915254237288,0.03389830508474576
234,04514,47,100000,9,2,2127.659574468085,0.19148936170212766,0.0425531914893617
235,04515,35,0,0,2,0.0,0.0,0.05714285714285714
236,04530,6,0,0,0,0.0,0.0,0.0
237,04531,5,0,0,0,0.0,0.0,0.0
238,04532,11,0,0,0,0.0,0.0,0.0
239,04533,10,20000,0,0,2000.0,0.0,0.0
240,04534,8,0,0,0,0.0,0.0,0.0
241,04535,3,0,0,0,0.0,0.0,0.0
242,04536,12,0,0,0,0.0,0.0,0.0
243,04537,19,0,0,20,0.0,0.0,1.0526315789473684
244,04538,8,0,0,0,0.0,0.0,0.0
245,04539,11,0,0,0,0.0,0.0,0.0
246,04540,28,0,1,24,0.0,0.03571428571428571,0.8571428571428571
247,04541,18,50000,0,8,2777.777777777778,0.0,0.4444444444444444
248,04542,8,0,0,0,0.0,0.0,0.0
249,04543,53,0,0,202,0.0,0.0,3.811320754716981
250,04544,24,500,0,16,20.833333333333332,0.0,0.6666666666666666
251,04545,7,0,0,0,0.0,0.0,0.0
252,04546,21,0,0,14,0.0,0.0,0.6666666666666666
253,04547,4,1000000,0,0,250000.0,0.0,0.0
254,04548,45,5000,1,62,111.11111111111111,0.022222222222222223,1.3777777777777778
255,04549,8,0,0,0,0.0,0.0,0.0
256,04550,13,0,0,0,0.0,0.0,0.0
257,04551,24,1000,2,2,41.666666666666664,0.08333333333333333,0.08333333333333333
258,04552,5,0,0,0,0.0,0.0,0.0
259,04553,41,0,0,0,0.0,0.0,0.0
260,04554,6,0,0,0,0.0,0.0,0.0
261,04555,10,1000,4,2,100.0,0.4,0.2
262,04556,7,0,0,0,0.0,0.0,0.0
263,04557,1,0,0,0,0.0,0.0,0.0
264,04558,4,8000000,0,0,2000000.0,0.0,0.0
265,04559,8,0,0,0,0.0,0.0,0.0
266,04560,4,0,0,0,0.0,0.0,0.0
267,04561,3,0,0,0,0.0,0.0,0.0
268,04562,6,5000,0,0,833.3333333333334,0.0,0.0
269,04563,1,0,0,0,0.0,0.0,0.0
270,05001,322,115208000,13,6,357788.8198757764,0.040372670807453416,0.018633540372670808
271,05002,69,17825000,0,2,258333.33333333334,0.0,0.028985507246376812
272,05003,463,73831300,13,10,159462.85097192225,0.028077753779697623,0.02159827213822894
273,05004,114,61677000,1,0,541026.3157894737,0.008771929824561403,0.0
274,05005,508,81313000,46,6,160064.96062992126,0.09055118110236221,0.011811023622047244
275,05006,104,52968000,0,0,509307.6923076923,0.0,0.0
276,05007,781,93038900,38,18,119127.91293213828,0.04865556978233035,0.023047375160051217
277,05008,119,2273010,1,0,19100.9243697479,0.008403361344537815,0.0
278,05009,397,14162010,6,2,35672.56926952141,0.015113350125944584,0.005037783375314861
279,05010,81,46210000,778,8,570493.8271604938,9.604938271604938,0.09876543209876543
280,05011,253,21694000,7,0,85747.03557312253,0.02766798418972332,0.0
281,05012,144,2597000,3,0,18034.722222222223,0.020833333333333332,0.0
282,05013,322,60405000,0,0,187593.16770186336,0.0,0.0
283,05014,108,53482000,0,0,495203.7037037037,0.0,0.0
284,05015,348,55273500,1,8,158831.89655172414,0.0028735632183908046,0.022988505747126436
285,05016,105,53802000,0,0,512400.0,0.0,0.0
286,05017,455,26484310,19,4,58207.27472527473,0.041758241758241756,0.008791208791208791
287,05018,129,9165010,3,0,71046.58914728682,0.023255813953488372,0.0
288,05019,489,9280350,7,0,18978.220858895704,0.014314928425357873,0.0
289,05020,87,1150000,0,0,13218.3908045977,0.0,0.0
290,05021,286,41952160,0,6,146685.87412587414,0.0,0.02097902097902098
291,05022,105,29357000,0,2,279590.4761904762,0.0,0.01904761904761905
292,05023,322,73625000,20,2,228649.06832298136,0.062111801242236024,0.006211180124223602
