OBJECTID,State,Month,Event Type,Begin Date Time,Property Damage,Begin Lat,Begin Lon,Episode Narrative,Event Narrative,Lat/Lon Known,State FIPS,Year,County/Zone FIPS,County/Zone Type,Event ID,Direct Injuries,Indirect Injuries,Indirect Deaths,Direct Deaths,Episode ID,Source,Data Source,Tornado F Scale,County/Zone Name,Total Injuries and Deaths,x,y,FIPS
796532,ARIZONA,July,Thunderstorm Wind,31-JUL-90 21:55:00,0,33.42,-111.72,,,Yes,04,1990,013,C,9984134,0,0,0,0,,,PUB,,MARICOPA,0,-12436614.0,3951186.0,04013
796533,MISSOURI,May,Hail,16-MAY-90 13:20:00,0,37.83,-94.37,,,Yes,29,1990,217,C,10070939,0,0,0,0,,,PUB,,VERNON,0,-10505220.0,4555438.0,29217
796534,LOUISIANA,December,Hail,21-DEC-90 11:07:00,0,32.45,-92.98,,,Yes,22,1990,013,C,10046816,0,0,0,0,,,PUB,,BIENVILLE,0,-10350486.0,3822526.0,22013
796535,ALABAMA,April,Thunderstorm Wind,01-APR-90 18:12:00,0,31.78,-85.3,,,Yes,01,1990,005,C,9981938,0,0,0,0,,,PUB,,BARBOUR,0,-9495553.0,3734467.0,01005
796536,KANSAS,March,Hail,12-MAR-90 21:47:00,0,38.95,-95.67,,,Yes,20,1990,177,C,10037649,0,0,0,0,,,PUB,,SHAWNEE,0,-10649936.0,4714512.0,20177
796537,KANSAS,July,Hail,15-JUL-90 18:07:00,0,37.58,-101.27,,,Yes,20,1990,067,C,10034505,0,0,0,0,,,PUB,,GRANT,0,-11273325.0,4520263.0,20067
796538,MISSISSIPPI,May,Thunderstorm Wind,21-MAY-90 12:07:00,0,31.97,-89.3,,,Yes,28,1990,061,C,10064558,0,0,0,0,,,PUB,,JASPER,0,-9940831.0,3759373.0,28061
796539,NEBRASKA,June,Hail,12-JUN-90 20:55:00,0,40.98,-99.1,,,Yes,31,1990,019,C,10079980,0,0,0,0,,,PUB,,BUFFALO,0,-11031762.0,5009392.0,31019
796540,NEBRASKA,June,Hail,12-JUN-90 21:10:00,0,41.17,-99.15,,,Yes,31,1990,163,C,10079981,0,0,0,0,,,PUB,,SHERMAN,0,-11037328.0,5037449.0,31163
796541,KANSAS,June,Hail,08-JUN-90 16:02:00,0,39.85,-95.53,,,Yes,20,1990,013,C,10036430,0,0,0,0,,,PUB,,BROWN,0,-10634351.0,4844169.0,20013
